trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,153.2,4.42,1.2708333333333335,0.31249999999999994,1.75
1,explore,500.0,179.27,22.949999999999992,15.270833333333332,5.625,20.09375
2,explore,500.0,181.71,50.04,42.58333333333332,18.749999999999996,54.5
3,explore,500.0,179.90999999999994,72.24999999999993,61.75000000000003,37.4375,73.90625000000001
4,explore,500.0,177.30000000000007,90.5,74.37500000000006,56.8125,83.15625
5,explore,500.0,174.56,105.09,82.93750000000006,70.87499999999999,88.96875000000001
6,explore,500.0,170.25999999999996,116.77,89.45833333333331,82.87500000000004,92.75
7,explore,500.0,166.21,126.89,94.33333333333329,90.87499999999999,96.0625
8,explore,500.0,162.38000000000002,134.33000000000007,97.39583333333334,96.375,97.90625
9,explore,500.0,159.14,140.01999999999998,98.81249999999996,98.8125,98.8125
10,explore,500.0,156.13,143.95999999999995,99.29166666666666,99.1875,99.34375
11,explore,500.0,153.93000000000004,146.51,99.81249999999999,99.8125,99.8125
12,explore,500.0,152.39000000000001,147.54999999999993,99.8958333333333,99.9375,99.875
13,explore,500.0,151.33,148.33,99.97916666666664,100.0,99.96875
14,explore,500.0,150.4999999999999,148.78,100.0,100.0,100.0
15,explore,500.0,149.99999999999994,148.88000000000002,100.0,100.0,100.0
16,explore,500.0,149.7,148.9099999999999,100.0,100.0,100.0
17,explore,500.0,149.47999999999993,148.95999999999995,100.0,100.0,100.0
18,explore,500.0,149.37000000000006,148.95999999999995,100.0,100.0,100.0
19,explore,500.0,149.25000000000009,148.98,100.0,100.0,100.0
20,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
21,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
22,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
23,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
24,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
25,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
26,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
27,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
28,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
29,exploit,500.0,149.25000000000009,148.98,100.0,100.0,100.0
