trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,138.6,3.1,0.01408450704225352,0.23076923076923078,0.0
1,explore,500.0,233.3,11.9,0.07042253521126761,1.1538461538461537,0.0
2,explore,500.0,339.7,19.0,0.19248826291079815,1.3846153846153848,0.11499999999999999
3,explore,500.0,449.2,28.2,1.394366197183099,1.615384615384616,1.3800000000000001
4,explore,500.0,558.5,37.0,4.323943661971831,1.8461538461538463,4.485
5,explore,500.0,660.3,47.0,6.929577464788731,2.076923076923077,7.244999999999999
6,explore,500.0,759.6,60.7,12.338028169014084,2.230769230769231,12.995000000000001
7,explore,500.0,869.9,77.0,22.924882629107984,2.3076923076923075,24.265
8,explore,500.0,958.5,93.0,33.20657276995305,2.5384615384615388,35.2
9,explore,500.0,1061.9,108.8,42.431924882629104,3.0769230769230775,44.989999999999995
10,explore,500.0,1143.7,130.5,56.36150234741784,3.153846153846154,59.82000000000001
11,explore,500.0,1230.7,147.3,64.89201877934272,3.461538461538462,68.88500000000002
12,explore,500.0,1300.2,164.4,71.73708920187792,3.6923076923076925,76.16
13,explore,500.0,1384.2,175.7,73.88732394366195,3.769230769230769,78.445
14,explore,500.0,1454.2,189.9,78.1079812206573,4.000000000000001,82.925
15,explore,500.0,1519.7,202.5,81.71361502347416,4.307692307692308,86.74500000000003
16,explore,500.0,1573.4,215.9,83.02347417840376,4.6923076923076925,88.11500000000001
17,explore,500.0,1632.4,227.7,84.53521126760563,4.6923076923076925,89.725
18,explore,500.0,1684.6,234.9,84.77464788732394,4.923076923076923,89.965
19,explore,500.0,1725.0,243.6,85.1079812206573,5.000000000000001,90.31499999999998
20,explore,500.0,1768.5,252.8,85.44131455399062,5.230769230769229,90.65499999999999
21,explore,500.0,1811.5,263.9,86.10328638497654,5.230769230769229,91.36
22,explore,500.0,1846.1,271.5,86.24882629107982,5.538461538461538,91.495
23,explore,500.0,1879.7,280.2,86.1549295774648,5.615384615384615,91.39
24,explore,500.0,1908.5,287.5,86.29577464788731,5.846153846153846,91.52499999999999
25,explore,500.0,1945.8,293.0,86.52582159624411,5.846153846153846,91.77
26,explore,500.0,1982.4,302.3,86.53990610328637,5.846153846153846,91.785
27,explore,500.0,2015.1,308.3,86.32863849765258,5.923076923076923,91.55499999999998
28,explore,500.0,2044.1,316.1,86.78403755868544,6.230769230769231,92.01999999999998
29,explore,500.0,2075.5,323.5,86.92488262910797,6.538461538461538,92.14999999999999
30,explore,500.0,2093.4,332.7,86.9530516431925,7.0,92.14999999999999
31,explore,500.0,2118.5,342.1,86.85915492957747,7.076923076923076,92.045
32,explore,500.0,2144.7,353.0,86.77464788732394,7.076923076923076,91.95500000000001
33,explore,500.0,2160.9,364.1,86.7981220657277,7.307692307692308,91.965
34,explore,500.0,2186.8,373.4,86.94366197183099,7.538461538461538,92.105
35,explore,500.0,2212.9,381.7,86.95305164319248,7.538461538461538,92.11500000000001
36,explore,500.0,2236.7,390.9,87.07511737089203,7.615384615384616,92.24
37,explore,500.0,2256.9,400.8,87.07511737089203,7.615384615384616,92.24
38,explore,500.0,2271.8,408.4,87.09859154929578,7.615384615384616,92.265
39,explore,500.0,2287.2,419.1,87.12676056338029,7.769230769230769,92.285
40,explore,500.0,2305.1,428.6,87.14084507042253,7.846153846153847,92.295
41,explore,500.0,2319.6,437.5,87.17840375586854,8.307692307692308,92.305
42,explore,500.0,2341.4,445.0,87.19718309859157,8.384615384615383,92.32000000000001
43,explore,500.0,2355.4,456.1,87.2300469483568,8.846153846153847,92.325
44,explore,500.0,2366.4,468.5,87.25821596244131,9.0,92.345
45,explore,500.0,2381.2,475.3,87.25821596244131,9.0,92.345
46,explore,500.0,2391.9,484.4,87.29107981220656,9.384615384615387,92.35500000000002
47,explore,500.0,2407.6,492.8,87.31455399061034,9.615384615384617,92.36500000000001
48,explore,500.0,2420.6,502.5,87.36150234741785,9.923076923076923,92.39500000000001
49,explore,500.0,2439.4,509.7,87.37089201877936,10.076923076923078,92.39500000000001
50,explore,500.0,2456.0,518.3,87.40375586854461,10.384615384615385,92.41
51,explore,500.0,2467.2,525.8,87.42253521126761,10.538461538461538,92.42000000000002
52,explore,500.0,2479.6,533.4,87.44600938967135,10.692307692307692,92.43500000000002
53,explore,500.0,2490.5,542.6,87.46009389671362,10.846153846153843,92.44000000000001
54,explore,500.0,2502.0,551.9,87.51173708920189,10.999999999999998,92.485
55,explore,500.0,2514.4,560.5,87.53521126760565,11.23076923076923,92.49499999999998
56,explore,500.0,2522.0,570.1,87.55399061032864,11.384615384615385,92.505
57,explore,500.0,2527.9,577.8,87.58215962441314,11.615384615384617,92.52
58,explore,500.0,2539.9,586.0,87.59154929577464,11.692307692307692,92.525
59,explore,500.0,2547.4,597.8,87.63380281690142,12.076923076923077,92.54499999999999
60,explore,500.0,2555.8,608.3,87.6619718309859,12.538461538461538,92.54499999999999
61,explore,500.0,2563.2,618.4,87.6619718309859,12.538461538461538,92.54499999999999
62,explore,500.0,2569.6,628.2,87.70892018779342,13.153846153846155,92.555
63,explore,500.0,2586.2,637.0,87.71830985915491,13.230769230769232,92.56
64,explore,500.0,2596.3,649.2,87.7511737089202,13.384615384615383,92.58500000000001
65,explore,500.0,2602.2,659.6,87.76525821596246,13.461538461538462,92.595
66,explore,500.0,2610.5,670.3,87.79342723004694,13.76923076923077,92.605
67,explore,500.0,2615.1,679.2,87.84037558685445,14.000000000000004,92.64
68,explore,500.0,2623.8,690.0,87.89201877934272,14.615384615384617,92.655
69,explore,500.0,2628.8,699.0,87.9342723004695,14.846153846153848,92.685
70,explore,500.0,2642.1,705.6,87.9342723004695,14.846153846153848,92.685
71,explore,500.0,2645.9,715.5,87.97183098591549,15.153846153846157,92.70500000000001
72,explore,500.0,2652.8,727.0,88.00469483568074,15.461538461538463,92.72
73,explore,500.0,2662.7,737.4,88.018779342723,15.615384615384619,92.725
74,explore,500.0,2667.7,748.0,88.02816901408451,15.76923076923077,92.725
75,explore,500.0,2675.6,757.0,88.06572769953051,15.923076923076925,92.75500000000002
76,explore,500.0,2678.9,767.1,88.07981220657277,16.000000000000004,92.76500000000001
77,explore,500.0,2686.6,775.2,88.09389671361501,16.230769230769234,92.76500000000001
78,explore,500.0,2690.1,787.4,88.12676056338027,16.46153846153846,92.785
79,explore,500.0,2695.5,796.4,88.16431924882629,16.76923076923077,92.80500000000002
80,explore,500.0,2701.3,806.8,88.1830985915493,16.846153846153847,92.82000000000001
81,explore,500.0,2709.0,813.2,88.09389671361501,17.07692307692308,92.71000000000001
82,explore,500.0,2714.3,823.3,88.12206572769954,17.07692307692308,92.74
83,explore,500.0,2718.6,833.7,88.15492957746478,17.307692307692314,92.76000000000002
84,explore,500.0,2720.9,845.5,88.29577464788731,17.692307692307693,92.885
85,explore,500.0,2728.1,854.7,88.2206572769953,17.923076923076927,92.78999999999999
86,explore,500.0,2733.2,864.5,88.24413145539906,18.07692307692308,92.80500000000002
87,explore,500.0,2737.3,877.6,88.37089201877933,18.307692307692307,92.925
88,explore,500.0,2741.0,886.1,88.4037558685446,18.46153846153846,92.95
89,explore,500.0,2746.0,896.4,88.42723004694837,18.615384615384613,92.965
90,explore,500.0,2749.2,905.9,88.45539906103286,18.923076923076923,92.97500000000001
91,explore,500.0,2754.5,917.4,88.48356807511736,19.0,93.0
92,explore,500.0,2758.1,927.7,88.51173708920189,19.076923076923077,93.025
93,explore,500.0,2762.2,937.7,88.53521126760563,19.230769230769234,93.04
94,explore,500.0,2764.6,948.3,88.55868544600939,19.30769230769231,93.05999999999999
95,explore,500.0,2767.7,959.7,88.5868544600939,19.461538461538463,93.08000000000001
96,explore,500.0,2770.9,968.6,88.6056338028169,19.61538461538462,93.09
97,explore,500.0,2772.4,979.6,88.64319248826291,19.846153846153847,93.11500000000001
