trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,126.8,3.0,0.0,0.0,0.0
1,explore,500.0,222.2,8.2,0.5426356589147286,0.0,0.6481481481481481
2,explore,500.0,318.8,18.4,6.201550387596899,0.0,7.407407407407407
3,explore,500.0,380.0,30.0,18.75968992248062,0.0,22.4074074074074
4,explore,499.8,422.6,46.0,45.03875968992248,0.47619047619047616,53.70370370370371
5,explore,500.0,434.8,59.4,59.84496124031008,0.9523809523809523,71.29629629629629
6,explore,499.6,445.6,67.6,63.565891472868216,1.4285714285714284,75.64814814814814
7,explore,500.0,450.2,79.0,66.66666666666666,5.238095238095238,78.61111111111111
8,explore,500.0,454.2,88.8,68.37209302325581,6.666666666666666,80.37037037037037
9,explore,500.0,456.2,99.8,69.14728682170542,10.952380952380953,80.46296296296296
10,explore,500.0,454.6,109.0,70.3875968992248,14.285714285714283,81.2962962962963
11,explore,500.0,454.6,120.6,71.31782945736434,19.047619047619044,81.48148148148148
12,explore,500.0,456.6,131.4,72.01550387596899,20.476190476190474,82.03703703703704
13,explore,500.0,456.8,143.2,73.10077519379846,24.285714285714285,82.59259259259258
14,explore,499.8,457.0,156.2,74.41860465116278,28.571428571428566,83.33333333333334
15,explore,499.8,456.2,167.0,75.03875968992247,30.952380952380945,83.61111111111111
16,explore,499.6,455.0,181.0,76.04651162790698,34.285714285714285,84.16666666666666
17,explore,500.0,454.6,189.0,76.74418604651163,36.19047619047619,84.62962962962965
18,explore,499.8,453.6,201.4,78.06201550387598,40.95238095238095,85.27777777777779
19,explore,500.0,453.2,214.4,78.83720930232559,42.85714285714285,85.83333333333334
20,explore,499.6,452.4,228.2,80.77519379844962,49.04761904761905,86.94444444444444
21,explore,499.4,451.6,240.4,82.09302325581396,54.28571428571429,87.5
22,explore,499.8,450.0,252.0,83.33333333333333,57.61904761904761,88.33333333333333
23,explore,499.6,448.6,266.4,84.96124031007753,63.33333333333333,89.16666666666666
24,explore,499.4,447.2,278.0,86.12403100775194,69.04761904761905,89.44444444444443
25,explore,500.0,445.8,290.8,87.44186046511629,72.85714285714285,90.27777777777777
26,explore,499.0,444.2,303.6,88.6046511627907,77.61904761904762,90.74074074074075
27,explore,499.0,442.4,312.8,89.76744186046513,81.42857142857143,91.38888888888889
28,explore,499.4,440.6,322.0,90.93023255813952,86.19047619047619,91.85185185185185
29,explore,499.8,439.4,332.8,91.93798449612402,89.52380952380952,92.40740740740742
30,explore,499.6,438.6,341.6,93.25581395348837,91.9047619047619,93.51851851851852
31,explore,499.8,437.6,350.0,94.03100775193799,94.28571428571428,93.98148148148148
32,explore,498.6,436.4,357.4,94.8062015503876,96.19047619047619,94.53703703703704
33,explore,499.8,435.2,365.2,95.58139534883722,99.04761904761905,94.9074074074074
34,explore,499.4,434.0,374.2,96.20155038759691,99.52380952380952,95.55555555555554
35,explore,499.6,432.8,380.2,96.74418604651164,99.52380952380952,96.20370370370371
36,explore,499.8,431.2,383.8,97.05426356589147,99.52380952380952,96.57407407407406
37,explore,499.0,430.2,389.0,97.51937984496124,100.0,97.03703703703704
38,explore,499.8,429.2,392.8,98.13953488372093,100.0,97.77777777777779
39,explore,499.2,427.4,399.2,98.7596899224806,100.0,98.51851851851852
40,explore,500.0,425.4,401.6,99.06976744186048,100.0,98.88888888888889
41,explore,500.0,424.6,404.8,99.30232558139535,100.0,99.16666666666666
42,explore,500.0,423.2,407.0,99.45736434108527,100.0,99.35185185185186
43,explore,500.0,422.4,409.2,99.6124031007752,100.0,99.53703703703704
44,explore,500.0,420.8,411.0,99.84496124031008,100.0,99.81481481481481
45,explore,500.0,420.4,412.6,99.84496124031008,100.0,99.81481481481481
46,explore,500.0,419.6,413.2,99.92248062015503,100.0,99.90740740740742
47,explore,500.0,418.8,414.6,100.0,100.0,100.0
48,explore,500.0,418.2,415.0,100.0,100.0,100.0
49,explore,500.0,417.0,415.6,100.0,100.0,100.0
50,exploit,500.0,417.0,415.6,100.0,100.0,100.0
51,exploit,500.0,417.0,415.6,100.0,100.0,100.0
52,exploit,500.0,417.0,415.6,100.0,100.0,100.0
53,exploit,500.0,417.0,415.6,100.0,100.0,100.0
54,exploit,500.0,417.0,415.6,100.0,100.0,100.0
55,exploit,500.0,417.0,415.6,100.0,100.0,100.0
56,exploit,500.0,417.0,415.6,100.0,100.0,100.0
57,exploit,500.0,417.0,415.6,100.0,100.0,100.0
58,exploit,500.0,417.0,415.6,100.0,100.0,100.0
59,exploit,500.0,417.0,415.6,100.0,100.0,100.0
