trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
844,80.09803921568628,20,135.5,explore,135.5,2400.0,2398.9
845,80.09803921568628,20,135.2,explore,135.2,2400.0,2398.9
846,80.09803921568628,20,141.3,explore,141.3,2400.0,2398.9
847,80.09803921568628,20,153.0,explore,153.0,2400.0,2398.9
848,80.09803921568628,20,127.9,explore,127.9,2400.0,2398.9
849,80.10504201680673,20,141.8,explore,141.8,2400.0,2399.1
850,80.10504201680673,20,163.7,explore,163.7,2400.0,2399.2
851,80.11204481792718,20,171.4,explore,171.4,2400.0,2399.4
852,80.11204481792718,-1,140.2,explore,140.2,2400.0,2399.6
853,80.11204481792718,20,107.8,explore,107.8,2400.0,2399.6
854,80.11204481792718,20,136.4,explore,136.4,2400.0,2399.6
855,80.11204481792718,-1,162.1,explore,162.1,2400.0,2399.7
856,80.11204481792718,20,165.8,explore,165.8,2400.0,2399.7
857,80.11204481792718,20,136.5,explore,136.5,2400.0,2399.7
858,80.11204481792718,20,132.9,explore,132.9,2400.0,2399.7
859,80.11204481792718,20,114.3,explore,114.3,2400.0,2399.7
860,80.11204481792718,-10,173.9,explore,173.9,2400.0,2399.7
861,80.11204481792718,20,156.4,explore,156.4,2400.0,2399.7
862,80.11204481792718,-1,118.3,explore,118.3,2400.0,2399.7
863,80.11204481792718,-1,141.6,explore,141.6,2400.0,2399.7
864,80.11204481792718,20,159.5,explore,159.5,2400.0,2399.7
865,80.11204481792718,20,139.5,explore,139.5,2400.0,2399.7
866,80.11204481792718,-10,151.1,explore,151.1,2400.0,2400.0
867,80.11204481792718,20,130.9,explore,130.9,2400.0,2400.0
868,80.11204481792718,20,124.8,explore,124.8,2400.0,2400.0
869,80.11204481792718,-1,154.3,explore,154.3,2400.0,2400.0
870,80.11204481792718,20,153.0,explore,153.0,2400.0,2400.0
871,80.11204481792718,20,139.3,explore,139.3,2400.0,2400.0
872,80.11204481792718,20,152.0,explore,152.0,2400.0,2400.0
873,80.11204481792718,20,158.4,explore,158.4,2400.0,2400.0
874,80.11204481792718,20,136.8,explore,136.8,2400.0,2400.0
875,80.11204481792718,-1,162.0,explore,162.0,2400.0,2400.0
876,80.11204481792718,20,126.3,explore,126.3,2400.0,2400.0
877,80.11204481792718,-1,153.2,explore,153.2,2400.0,2400.0
878,80.11204481792718,20,143.8,explore,143.8,2400.0,2400.0
879,80.11204481792718,-1,130.3,explore,130.3,2400.0,2400.0
880,80.11204481792718,20,120.4,explore,120.4,2400.0,2400.0
881,80.11204481792718,20,139.0,explore,139.0,2400.0,2400.0
882,80.11204481792718,-1,168.1,explore,168.1,2400.0,2400.0
883,80.11204481792718,20,130.8,explore,130.8,2400.0,2400.0
884,80.11204481792718,-1,165.1,explore,165.1,2400.0,2400.0
885,80.11204481792718,20,161.7,explore,161.7,2400.0,2400.0
886,80.11204481792718,20,132.4,explore,132.4,2400.0,2400.0
887,80.11204481792718,20,130.3,explore,130.3,2400.0,2400.0
888,80.11204481792718,20,153.5,explore,153.5,2400.0,2400.0
889,80.11204481792718,20,161.8,explore,161.8,2400.0,2400.0
890,80.11204481792718,20,136.5,explore,136.5,2400.0,2400.0
891,80.11204481792718,20,168.7,explore,168.7,2400.0,2400.0
892,80.11204481792718,20,130.6,explore,130.6,2400.0,2400.0
893,80.11204481792718,20,152.0,explore,152.0,2400.0,2400.0
894,80.11204481792718,20,139.6,explore,139.6,2400.0,2400.0
895,80.11204481792718,20,169.4,explore,169.4,2400.0,2400.0
896,80.11204481792718,20,144.9,explore,144.9,2400.0,2400.0
897,80.11204481792718,-1,149.1,explore,149.1,2400.0,2400.0
898,80.11204481792718,20,105.9,explore,105.9,2400.0,2400.0
899,80.11204481792718,-1,159.3,explore,159.3,2400.0,2400.0
900,80.11204481792718,20,179.1,explore,179.1,2400.0,2400.0
901,80.11204481792718,20,148.2,explore,148.2,2400.0,2400.0
902,80.11204481792718,20,169.2,explore,169.2,2400.0,2400.0
903,80.11204481792718,20,131.1,explore,131.1,2400.0,2400.0
904,80.11204481792718,20,131.7,explore,131.7,2400.0,2400.0
905,80.11204481792718,20,141.3,explore,141.3,2400.0,2400.0
906,80.11204481792718,20,160.0,explore,160.0,2400.0,2400.0
907,80.11204481792718,20,154.6,explore,154.6,2400.0,2400.0
908,80.11204481792718,20,149.9,explore,149.9,2400.0,2400.0
909,80.11204481792718,-1,159.1,explore,159.1,2400.0,2400.0
910,80.11204481792718,20,182.7,explore,182.7,2400.0,2400.0
911,80.11204481792718,20,151.0,explore,151.0,2400.0,2400.0
912,80.11204481792718,20,122.4,explore,122.4,2400.0,2400.0
913,80.11204481792718,20,139.0,explore,139.0,2400.0,2400.0
914,80.11204481792718,20,124.7,explore,124.7,2400.0,2400.0
915,80.11204481792718,20,172.1,explore,172.1,2400.0,2400.0
916,80.11204481792718,20,128.9,explore,128.9,2400.0,2400.0
