trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-460,-460,172,explore,172,77,0
1,0.0,-636,-1226,200,explore,200,187,0
2,0.0,-717,-1933,200,explore,200,274,0
3,0.0,-654,-2424,200,explore,200,347,0
4,0.0,-645,-3059,200,explore,200,397,0
5,0.0,-645,-3541,200,explore,200,489,0
6,0.0,-681,-4302,200,explore,200,527,0
7,0.0,-708,-4748,200,explore,200,607,0
8,0.0,-591,-5653,200,explore,200,699,0
9,0.0,-364,-6046,122,explore,122,791,0
10,0.0,-582,-6353,200,explore,200,911,0
11,0.0,-600,-5804,200,explore,200,1009,0
12,0.0,-600,-5637,200,explore,200,1046,0
13,0.0,-672,-6273,200,explore,200,1051,0
14,0.0,-645,-6309,200,explore,200,1092,0
15,0.0,-708,-6354,200,explore,200,1146,0
16,0.0,-627,-6089,200,explore,200,1229,0
17,0.0,-699,-6131,200,explore,200,1313,0
18,0.0,-735,-6014,200,explore,200,1342,0
19,0.0,-708,-6262,200,explore,200,1358,0
20,0.0,-482,-6429,166,explore,166,1382,0
21,0.0,-771,-6918,200,explore,200,1453,0
22,0.0,-654,-6506,200,explore,200,1467,0
23,0.0,-780,-6691,200,explore,200,1488,0
24,0.0,-690,-6710,200,explore,200,1493,0
25,0.0,-735,-6908,200,explore,200,1548,0
26,0.0,-690,-7241,200,explore,200,1586,0
27,0.0,-789,-7115,200,explore,200,1602,1
28,0.0,-708,-7340,200,explore,200,1610,1
29,0.0,-762,-7696,200,explore,200,1619,1
30,0.0,-744,-6464,200,explore,200,1640,1
31,0.0,-744,-6905,200,explore,200,1664,1
32,0.0,-789,-6719,200,explore,200,1682,1
33,0.0,-735,-6528,200,explore,200,1690,1
34,0.0,-1050,-7677,200,explore,200,1687,4
35,0.0,-1104,-6976,200,explore,200,1691,7
36,0.0,-924,-7917,200,explore,200,1696,7
37,0.0,-744,-8565,200,explore,200,1731,7
38,0.0,-780,-8115,200,explore,200,1784,7
39,0.0,-780,-8358,200,explore,200,1861,7
40,0.0,-717,-7644,200,explore,200,1955,7
41,0.0,-217,-7534,84,explore,84,1970,7
42,0.0,-1014,-7540,200,explore,200,1972,7
43,0.0,-602,-7838,134,explore,134,2001,7
44,0.0,-681,-8169,200,explore,200,2010,7
45,0.0,-355,-7888,86,explore,86,2015,7
46,0.0,-852,-8152,200,explore,200,2058,7
47,0.0,-744,-8556,200,explore,200,2075,7
48,0.0,-906,-8799,200,explore,200,2077,7
49,0.0,-1005,-8808,200,explore,200,2095,7
50,0.0,-996,-9294,200,explore,200,2096,7
51,0.0,-192,-7897,68,explore,68,2120,7
52,0.0,-762,-9231,200,explore,200,2125,9
53,0.0,-870,-9366,200,explore,200,2136,11
54,0.0,-861,-8494,200,explore,200,2138,10
55,0.0,-870,-8259,200,explore,200,2139,13
56,0.0,-942,-8988,200,explore,200,2158,13
57,0.0,-699,-8694,200,explore,200,2160,14
58,0.1400560224089636,-942,-8520,200,explore,200,2158,21
59,0.1400560224089636,-1140,-9006,200,explore,200,2160,25
60,0.1400560224089636,-870,-8529,200,explore,200,2159,27
61,0.1400560224089636,-1122,-8270,200,explore,200,2159,30
62,0.1400560224089636,-1059,-9150,200,explore,200,2167,30
63,0.1400560224089636,-879,-9023,200,explore,200,2174,31
64,0.1400560224089636,-825,-8502,200,explore,200,2173,31
65,0.1400560224089636,-1194,-8601,200,explore,200,2173,37
66,0.1400560224089636,-1059,-8970,200,explore,200,2173,45
67,0.1400560224089636,-915,-9186,200,explore,200,2181,46
68,0.1400560224089636,-744,-8867,200,explore,200,2179,46
69,0.1400560224089636,-869,-8821,167,explore,167,2188,49
70,0.1400560224089636,-825,-8583,200,explore,200,2190,53
71,0.1400560224089636,-852,-8673,200,explore,200,2186,57
72,0.1400560224089636,-1140,-9690,200,explore,200,2187,58
73,0.1400560224089636,-1068,-8862,200,explore,200,2187,62
74,0.1400560224089636,-1095,-8601,200,explore,200,2187,67
75,0.1400560224089636,-587,-7677,137,explore,137,2203,68
76,0.1400560224089636,-816,-7696,200,explore,200,2202,68
77,0.1400560224089636,-672,-7935,200,explore,200,2221,69
78,0.21008403361344538,-690,-7809,200,explore,200,2255,72
79,0.21008403361344538,-690,-7881,200,explore,200,2264,72
80,0.21008403361344538,-654,-8304,200,explore,200,2263,73
81,0.21008403361344538,-906,-8181,200,explore,200,2263,77
82,0.21008403361344538,-744,-8133,200,explore,200,2289,77
83,0.21008403361344538,-663,-8334,200,explore,200,2290,77
84,0.21008403361344538,-771,-8277,200,explore,200,2288,81
85,0.21008403361344538,-987,-8035,200,explore,200,2288,87
86,0.21008403361344538,-1131,-8199,200,explore,200,2288,91
87,0.21008403361344538,-951,-8781,200,explore,200,2291,91
88,0.2801120448179272,-852,-8319,200,explore,200,2291,97
89,0.2801120448179272,-1041,-8489,200,explore,200,2290,104
90,0.2801120448179272,-978,-9743,200,explore,200,2291,107
91,0.2801120448179272,-1149,-9407,200,explore,200,2291,109
92,0.2801120448179272,-1050,-9015,200,explore,200,2292,114
93,0.2801120448179272,-1005,-7972,200,explore,200,2304,118
94,0.2801120448179272,-825,-8887,200,explore,200,2302,121
95,0.42016806722689076,-933,-9455,200,explore,200,2301,128
96,0.42016806722689076,-1203,-9753,200,explore,200,2301,136
97,0.42016806722689076,-1086,-9924,200,explore,200,2303,137
98,0.42016806722689076,-539,-8972,99,explore,99,2309,138
99,0.42016806722689076,-870,-9051,200,explore,200,2309,142
100,0.42016806722689076,-816,-9438,200,explore,200,2307,143
101,0.42016806722689076,-1077,-9113,200,explore,200,2307,147
102,0.42016806722689076,-1077,-9366,200,explore,200,2307,151
103,0.42016806722689076,-1149,-9447,200,explore,200,2307,156
104,0.42016806722689076,-888,-9942,200,explore,200,2311,159
105,0.42016806722689076,-663,-9303,200,explore,200,2311,163
106,0.42016806722689076,-969,-9419,200,explore,200,2309,171
107,0.42016806722689076,-951,-8671,200,explore,200,2309,175
108,0.42016806722689076,-1095,-9960,200,explore,200,2309,180
109,0.42016806722689076,-1023,-10086,200,explore,200,2309,184
110,0.42016806722689076,-1167,-9807,200,explore,200,2309,189
111,0.42016806722689076,-1104,-9411,200,explore,200,2309,194
112,0.42016806722689076,-1158,-9837,200,explore,200,2309,198
113,0.42016806722689076,-1113,-8518,200,explore,200,2309,202
114,0.42016806722689076,-906,-9024,200,explore,200,2313,205
115,0.49019607843137253,-681,-9422,200,explore,200,2315,210
116,0.49019607843137253,-663,-8277,200,explore,200,2318,214
117,0.49019607843137253,-798,-9042,200,explore,200,2317,219
118,0.700280112044818,-897,-10167,200,explore,200,2317,227
119,0.7703081232492998,-852,-9699,200,explore,200,2316,231
120,0.9103641456582634,-1095,-10221,200,explore,200,2316,237
121,0.9103641456582634,-1131,-10115,200,explore,200,2316,247
122,0.9103641456582634,-1059,-10257,200,explore,200,2316,256
123,0.9103641456582634,-1086,-9897,200,explore,200,2316,262
124,0.9103641456582634,-1041,-9303,200,explore,200,2316,270
125,0.9103641456582634,-1059,-9488,200,explore,200,2316,272
126,0.9103641456582634,-1059,-9591,200,explore,200,2316,275
127,0.9103641456582634,-1104,-9411,200,explore,200,2316,279
128,0.9103641456582634,-1194,-9527,200,explore,200,2316,285
129,1.1204481792717087,-1068,-9672,200,explore,200,2316,294
130,1.400560224089636,-950,-9156,200,explore,200,2316,300
131,1.610644257703081,-1131,-8304,200,explore,200,2316,307
132,1.610644257703081,-987,-8772,200,explore,200,2316,312
133,1.610644257703081,-987,-9078,200,explore,200,2317,313
