trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,40.2,explore,40.2,32.8,0.0
1,0.0,0,41.3,explore,41.3,61.2,0.2
2,0.0,1000,25.5,explore,25.5,79.8,0.4
3,0.1739130434782609,0,27.0,explore,27.0,99.9,1.5
4,0.4347826086956522,0,44.0,explore,44.0,128.7,3.7
5,1.4782608695652175,1000,37.0,explore,37.0,149.3,6.5
6,2.0,0,35.5,explore,35.5,168.2,8.6
7,2.956521739130435,1000,26.4,explore,26.4,181.1,10.6
8,4.0,0,45.7,explore,45.7,199.6,13.5
9,4.695652173913044,1000,29.4,explore,29.4,213.1,15.8
10,6.434782608695651,0,37.5,explore,37.5,228.2,19.5
11,7.565217391304347,1000,37.2,explore,37.2,244.3,22.5
12,9.652173913043477,0,40.4,explore,40.4,254.0,26.8
13,10.695652173913041,1000,29.3,explore,29.3,264.4,28.9
14,14.000000000000004,0,49.3,explore,49.3,282.3,34.8
15,15.73913043478261,1000,41.3,explore,41.3,295.0,38.5
16,18.260869565217398,0,43.6,explore,43.6,303.7,43.0
17,19.65217391304348,0,40.1,explore,40.1,310.3,45.4
18,21.826086956521735,1000,36.3,explore,36.3,319.3,48.6
19,23.826086956521742,1000,32.7,explore,32.7,323.9,52.7
20,27.304347826086957,0,45.9,explore,45.9,331.0,58.4
21,30.608695652173914,0,47.8,explore,47.8,336.4,64.4
22,32.86956521739131,0,35.5,explore,35.5,338.4,68.5
23,35.565217391304344,1000,27.3,explore,27.3,341.8,73.0
24,37.65217391304348,0,37.0,explore,37.0,345.1,77.7
25,40.78260869565217,0,46.5,explore,46.5,348.1,83.5
26,42.95652173913042,1000,35.9,explore,35.9,350.0,87.7
27,44.95652173913043,0,33.1,explore,33.1,353.4,91.3
28,47.565217391304344,0,38.9,explore,38.9,354.6,95.7
29,49.73913043478261,0,37.9,explore,37.9,356.0,99.3
30,52.52173913043479,0,38.8,explore,38.8,359.2,105.2
31,54.34782608695652,0,26.2,explore,26.2,360.0,108.7
32,56.78260869565217,0,36.6,explore,36.6,362.5,113.6
33,58.43478260869565,0,35.6,explore,35.6,363.3,116.7
34,60.34782608695652,0,34.0,explore,34.0,365.8,121.4
35,62.173913043478265,0,31.9,explore,31.9,366.1,124.8
36,63.91304347826086,0,38.3,explore,38.3,366.3,128.9
37,66.17391304347825,0,35.0,explore,35.0,367.1,133.8
38,67.91304347826086,0,35.3,explore,35.3,368.3,138.0
39,69.39130434782608,1000,22.9,explore,22.9,369.8,141.4
40,71.3913043478261,0,40.6,explore,40.6,371.7,146.3
41,72.43478260869566,1000,30.9,explore,30.9,372.3,148.7
42,74.34782608695653,0,32.9,explore,32.9,372.4,152.5
43,75.39130434782608,1000,23.8,explore,23.8,372.6,155.8
44,77.04347826086959,1000,35.3,explore,35.3,373.2,159.8
45,78.52173913043478,1000,34.7,explore,34.7,373.6,163.2
46,79.39130434782608,0,34.2,explore,34.2,375.1,165.6
47,80.78260869565217,1000,29.9,explore,29.9,375.8,169.8
48,82.34782608695653,1000,34.0,explore,34.0,376.3,174.2
49,82.52173913043478,1000,27.1,explore,27.1,376.6,176.1
50,84.0,1000,36.3,explore,36.3,376.7,179.8
51,85.21739130434783,1000,37.4,explore,37.4,377.0,183.3
52,86.0,1000,29.7,explore,29.7,377.4,186.0
53,86.60869565217392,0,30.8,explore,30.8,378.3,188.5
54,86.86956521739133,1000,22.3,explore,22.3,377.9,189.9
55,87.56521739130434,0,34.8,explore,34.8,377.6,192.1
56,88.34782608695652,0,30.8,explore,30.8,377.4,195.5
57,88.69565217391303,1000,29.9,explore,29.9,378.5,198.1
58,89.47826086956522,0,38.2,explore,38.2,378.9,202.1
59,89.99999999999997,1000,26.5,explore,26.5,379.6,203.7
60,90.78260869565216,1000,41.1,explore,41.1,379.1,206.5
61,91.56521739130434,0,30.9,explore,30.9,378.7,209.3
62,92.08695652173914,0,36.4,explore,36.4,378.7,211.5
63,92.69565217391305,1000,26.9,explore,26.9,378.5,214.0
