trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,37.0,explore,37.0,28.9,0.0
1,0.0,1000,30.5,explore,30.5,52.4,0.0
2,0.0,0,34.0,explore,34.0,81.1,0.0
3,0.0,0,36.1,explore,36.1,104.0,0.0
4,0.0,1000,34.2,explore,34.2,125.1,0.1
5,0.0,0,36.5,explore,36.5,146.8,0.3
6,0.08695652173913043,0,44.4,explore,44.4,171.3,0.7
7,0.2608695652173913,0,37.8,explore,37.8,191.7,1.3
8,0.34782608695652173,0,22.1,explore,22.1,205.7,1.6
9,0.43478260869565216,0,43.2,explore,43.2,222.7,2.7
10,0.43478260869565216,1000,31.4,explore,31.4,238.8,3.4
11,0.5217391304347826,0,38.3,explore,38.3,256.5,4.0
12,0.782608695652174,1000,35.0,explore,35.0,272.6,5.3
13,1.0434782608695652,0,46.2,explore,46.2,287.8,6.7
14,0.9565217391304348,0,38.6,explore,38.6,299.6,7.3
15,1.2173913043478262,1000,37.3,explore,37.3,311.3,8.2
16,1.3043478260869565,1000,42.2,explore,42.2,322.6,8.9
17,1.652173913043478,0,46.3,explore,46.3,332.0,10.4
18,1.9130434782608696,0,37.1,explore,37.1,338.2,11.2
19,2.5217391304347827,1000,39.8,explore,39.8,342.7,13.0
20,2.956521739130435,1000,37.6,explore,37.6,349.0,14.3
21,3.3913043478260874,0,41.5,explore,41.5,355.3,15.3
22,3.7391304347826093,0,38.1,explore,38.1,360.2,16.5
23,4.000000000000001,0,40.3,explore,40.3,362.5,17.5
24,4.173913043478261,0,35.2,explore,35.2,366.1,18.2
25,4.8695652173913055,1000,45.2,explore,45.2,369.1,20.0
26,5.82608695652174,1000,45.1,explore,45.1,372.0,21.6
27,6.521739130434783,1000,37.1,explore,37.1,372.7,23.1
28,7.391304347826088,0,45.8,explore,45.8,374.5,25.6
29,8.869565217391305,0,48.3,explore,48.3,377.0,27.9
30,9.739130434782611,0,43.2,explore,43.2,378.3,29.9
31,10.17391304347826,1000,34.3,explore,34.3,378.5,31.0
32,11.39130434782609,0,44.4,explore,44.4,383.3,32.8
33,12.0,0,37.6,explore,37.6,384.8,33.8
34,13.217391304347824,0,44.6,explore,44.6,385.1,35.9
35,14.173913043478262,0,41.7,explore,41.7,384.8,37.7
36,14.956521739130437,1000,40.3,explore,40.3,385.8,39.1
37,16.17391304347826,0,34.5,explore,34.5,385.7,41.1
38,16.956521739130434,0,38.2,explore,38.2,385.5,42.9
39,17.913043478260875,1000,38.9,explore,38.9,386.0,44.8
40,18.956521739130434,0,39.2,explore,39.2,385.0,47.3
41,20.173913043478258,0,40.3,explore,40.3,384.5,49.7
42,21.999999999999996,0,44.8,explore,44.8,384.8,52.3
43,23.56521739130435,0,48.0,explore,48.0,384.0,55.6
44,24.869565217391305,1000,40.4,explore,40.4,384.9,58.1
45,26.608695652173914,0,45.5,explore,45.5,384.9,61.2
46,28.086956521739133,0,35.5,explore,35.5,384.5,63.6
47,29.30434782608696,0,48.9,explore,48.9,383.7,65.7
48,31.130434782608695,0,45.6,explore,45.6,383.4,69.2
49,32.52173913043478,1000,36.1,explore,36.1,383.8,71.8
50,34.26086956521739,0,39.0,explore,39.0,384.1,75.1
51,35.47826086956522,1000,37.7,explore,37.7,383.1,77.1
52,37.13043478260869,0,38.7,explore,38.7,382.6,80.7
53,37.7391304347826,0,30.1,explore,30.1,382.3,82.0
54,39.65217391304348,0,44.1,explore,44.1,381.8,85.8
55,40.869565217391305,0,36.9,explore,36.9,382.0,88.1
56,42.34782608695652,0,35.6,explore,35.6,381.6,90.8
57,43.565217391304344,1000,42.5,explore,42.5,380.0,93.8
58,44.69565217391303,1000,37.4,explore,37.4,379.8,96.0
59,45.39130434782608,1000,31.8,explore,31.8,379.1,97.1
60,47.652173913043484,1000,43.5,explore,43.5,379.3,101.1
61,49.565217391304344,0,42.3,explore,42.3,378.6,104.3
62,50.78260869565217,0,43.8,explore,43.8,379.2,107.3
63,52.52173913043479,0,39.9,explore,39.9,379.2,111.3
64,53.47826086956521,1000,33.9,explore,33.9,378.8,113.7
65,55.21739130434783,0,50.0,explore,50.0,378.6,117.1
66,56.173913043478265,1000,35.6,explore,35.6,378.7,119.2
67,57.04347826086956,0,32.9,explore,32.9,378.2,121.9
68,57.391304347826086,0,20.0,explore,20.0,377.6,122.8
