trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
636,64.34873949579833,-10,192.9,explore,192.9,2398.8,2023.0
637,64.35574229691878,-1,200.0,explore,200.0,2398.8,2023.2
638,64.36974789915968,-1,200.0,explore,200.0,2398.8,2023.8
639,64.38375350140056,-1,200.0,explore,200.0,2398.8,2024.0
640,64.4187675070028,-1,195.9,explore,195.9,2398.8,2024.7
641,64.4467787114846,-1,200.0,explore,200.0,2398.8,2025.1
642,64.5028011204482,-1,200.0,explore,200.0,2398.9,2026.1
643,64.53081232492998,-1,200.0,explore,200.0,2398.9,2026.7
644,64.55182072829132,-1,188.8,explore,188.8,2398.8,2027.0
645,64.56582633053219,-1,200.0,explore,200.0,2398.8,2027.3
646,64.63585434173669,-1,196.3,explore,196.3,2398.8,2028.7
647,64.67787114845937,-10,195.2,explore,195.2,2398.8,2029.7
648,64.69187675070029,-1,200.0,explore,200.0,2398.8,2030.2
649,64.70588235294117,-1,200.0,explore,200.0,2398.8,2030.4
650,64.77591036414567,-10,200.0,explore,200.0,2398.8,2031.9
651,64.83893557422971,-1,192.3,explore,192.3,2398.8,2033.2
652,64.8529411764706,-10,200.0,explore,200.0,2398.8,2033.4
653,64.90196078431373,-1,200.0,explore,200.0,2398.8,2034.6
654,64.9439775910364,-1,200.0,explore,200.0,2398.8,2035.6
655,64.97198879551821,-1,200.0,explore,200.0,2398.8,2036.0
656,64.97899159663866,-10,200.0,explore,200.0,2398.8,2036.1
657,64.99299719887956,-1,200.0,explore,200.0,2398.8,2036.4
658,65.06302521008402,-1,200.0,explore,200.0,2398.8,2038.1
659,65.09103641456582,-10,200.0,explore,200.0,2398.8,2038.8
660,65.11204481792717,-1,187.1,explore,187.1,2398.8,2039.7
661,65.15406162464987,-10,200.0,explore,200.0,2398.8,2040.8
662,65.18907563025209,-10,198.4,explore,198.4,2398.8,2041.4
663,65.2310924369748,-10,200.0,explore,200.0,2398.8,2042.7
664,65.2310924369748,-1,183.3,explore,183.3,2398.8,2043.0
665,65.25910364145658,-1,195.5,explore,195.5,2398.8,2043.9
666,65.28711484593836,-10,200.0,explore,200.0,2399.0,2044.5
667,65.30812324929973,-1,195.8,explore,195.8,2399.0,2045.3
668,65.32212885154061,-1,200.0,explore,200.0,2398.9,2046.0
669,65.34313725490196,-1,200.0,explore,200.0,2398.9,2046.5
670,65.35014005602241,-1,200.0,explore,200.0,2399.1,2046.8
671,65.37815126050421,-1,200.0,explore,200.0,2399.1,2047.2
672,65.39215686274511,-10,200.0,explore,200.0,2398.9,2047.5
673,65.41316526610645,-1,200.0,explore,200.0,2398.9,2047.9
674,65.44817927170868,-10,200.0,explore,200.0,2398.9,2049.1
675,65.45518207282913,-1,193.0,explore,193.0,2398.9,2049.5
676,65.47619047619047,-10,200.0,explore,200.0,2398.9,2050.2
677,65.47619047619047,-1,183.7,explore,183.7,2398.9,2050.2
678,65.47619047619047,-10,200.0,explore,200.0,2398.9,2050.2
679,65.48319327731092,-1,200.0,explore,200.0,2398.9,2050.5
680,65.50420168067228,-10,200.0,explore,200.0,2398.9,2051.2
681,65.5112044817927,-1,197.2,explore,197.2,2398.9,2051.4
682,65.54621848739495,-1,200.0,explore,200.0,2398.9,2052.1
683,65.58123249299719,-1,164.7,explore,164.7,2399.1,2052.9
684,65.62324929971987,-1,200.0,explore,200.0,2399.0,2053.7
685,65.64425770308122,-1,200.0,explore,200.0,2399.0,2054.5
686,65.65826330532214,-1,200.0,explore,200.0,2399.0,2054.8
687,65.71428571428571,-1,200.0,explore,200.0,2399.0,2056.0
688,65.7983193277311,-1,196.5,explore,196.5,2399.0,2057.6
689,65.7983193277311,-10,200.0,explore,200.0,2399.0,2057.6
690,65.80532212885153,-1,189.6,explore,189.6,2399.3,2057.7
691,65.86134453781513,-1,196.1,explore,196.1,2399.3,2058.7
692,65.9313725490196,-10,200.0,explore,200.0,2399.0,2059.8
693,65.94537815126053,-1,192.4,explore,192.4,2399.0,2060.0
