trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.1400560224089636,-665,-665,200,explore,200,65,5
1,0.21008403361344538,-576,-1178,200,explore,200,135,7
2,0.21008403361344538,-647,-1735,200,explore,200,211,20
3,0.2801120448179272,-701,-2508,200,explore,200,277,35
4,0.6302521008403361,-603,-3102,200,explore,200,339,55
5,0.9103641456582634,-475,-3588,200,explore,200,384,70
6,1.2605042016806722,-674,-4547,200,explore,200,410,91
7,2.3109243697478994,-610,-4872,200,explore,200,436,113
8,2.450980392156863,-656,-5528,200,explore,200,508,118
9,2.5210084033613445,-616,-6243,200,explore,200,601,124
10,2.5910364145658265,-648,-6088,200,explore,200,705,126
11,2.5910364145658265,-620,-6193,200,explore,200,800,128
12,2.661064425770308,-647,-5819,200,explore,200,880,132
13,2.73109243697479,-603,-6013,200,explore,200,932,135
14,3.711484593837535,-728,-6546,200,explore,200,952,152
15,3.711484593837535,-773,-6183,200,explore,200,1034,155
16,3.7815126050420167,-666,-6645,200,explore,200,1118,159
17,3.9215686274509802,-746,-6097,200,explore,200,1176,165
18,4.551820728291316,-647,-6435,200,explore,200,1217,174
19,4.901960784313726,-792,-6525,200,explore,200,1224,193
20,5.182072829131653,-800,-6200,200,explore,200,1263,201
21,5.46218487394958,-782,-6093,200,explore,200,1299,210
22,5.46218487394958,-756,-7048,200,explore,200,1381,211
23,5.88235294117647,-800,-6970,200,explore,200,1398,226
24,5.88235294117647,-881,-6995,200,explore,200,1445,228
25,6.022408963585434,-738,-7270,200,explore,200,1488,236
26,6.022408963585434,-818,-7476,200,explore,200,1543,240
27,6.022408963585434,-809,-7858,200,explore,200,1576,246
28,6.23249299719888,-792,-7048,200,explore,200,1638,252
29,6.442577030812324,-709,-7328,200,explore,200,1707,256
30,6.512605042016808,-890,-7832,200,explore,200,1787,262
31,7.42296918767507,-810,-7521,200,explore,200,1804,285
32,7.8431372549019605,-854,-7906,200,explore,200,1805,304
33,8.053221288515406,-604,-7702,152,explore,152,1857,312
34,8.683473389355742,-692,-7661,200,explore,200,1895,328
35,9.663865546218489,-864,-7846,200,explore,200,1919,355
36,10.224089635854341,-819,-7971,200,explore,200,1923,374
37,10.714285714285714,-1115,-8524,200,explore,200,1923,395
38,11.204481792717088,-1062,-8426,200,explore,200,1940,409
39,12.745098039215685,-801,-7166,200,explore,200,1966,433
40,13.23529411764706,-890,-8558,200,explore,200,1972,449
41,13.375350140056023,-846,-7676,200,explore,200,2018,455
42,13.655462184873949,-746,-8681,200,explore,200,2065,465
43,14.705882352941178,-943,-8538,200,explore,200,2086,487
44,15.546218487394958,-801,-8442,199,explore,199,2102,513
45,16.316526610644257,-846,-8583,200,explore,200,2104,538
46,16.736694677871146,-989,-8363,200,explore,200,2110,562
47,16.946778711484594,-962,-8639,200,explore,200,2137,576
48,17.99719887955182,-900,-8487,200,explore,200,2140,606
49,18.69747899159664,-989,-8465,200,explore,200,2144,632
50,19.257703081232496,-896,-8329,200,explore,200,2145,655
51,19.747899159663866,-1161,-7808,200,explore,200,2145,670
52,20.30812324929972,-911,-8379,199,explore,199,2160,689
53,20.798319327731093,-801,-7371,200,explore,200,2167,703
54,21.218487394957982,-944,-8797,200,explore,200,2187,719
55,22.54901960784314,-809,-7119,200,explore,200,2184,746
56,23.03921568627451,-611,-6976,135,explore,135,2186,755
57,23.809523809523807,-935,-7682,200,explore,200,2189,776
58,24.439775910364144,-839,-8524,200,explore,200,2203,797
59,24.92997198879552,-290,-7278,75,explore,75,2207,807
60,25.630252100840334,-766,-6869,183,explore,183,2212,831
61,26.05042016806723,-878,-8040,200,explore,200,2224,848
62,27.030812324929972,-864,-8387,200,explore,200,2230,877
63,27.521008403361346,-788,-7588,199,explore,199,2229,890
64,28.361344537815125,-897,-8326,200,explore,200,2229,905
65,28.781512605042014,-972,-8586,200,explore,200,2234,922
66,29.341736694677873,-562,-6936,164,explore,164,2259,937
67,29.761904761904763,-871,-7729,200,explore,200,2260,956
68,30.322128851540615,-660,-7382,200,explore,200,2264,976
69,30.952380952380953,-976,-7433,200,explore,200,2266,992
70,31.512605042016805,-873,-7912,200,explore,200,2267,1017
71,31.512605042016805,-259,-8201,71,explore,71,2266,1017
72,31.932773109243694,-1116,-8798,200,explore,200,2271,1032
73,32.35294117647059,-854,-7998,200,explore,200,2271,1050
74,33.54341736694678,-752,-8816,199,explore,199,2272,1075
75,34.03361344537815,-864,-9194,200,explore,200,2275,1095
76,34.593837535014,-640,-7674,166,explore,166,2282,1114
77,35.57422969187675,-647,-8157,200,explore,200,2280,1134
78,36.06442577030812,-1062,-8828,200,explore,200,2281,1154
79,36.20448179271708,-994,-8142,200,explore,200,2285,1159
80,36.554621848739494,-795,-9170,200,explore,200,2287,1172
81,36.904761904761905,-747,-7725,200,explore,200,2302,1184
82,36.904761904761905,-819,-6701,200,explore,200,2299,1188
83,37.46498599439776,-1016,-8416,200,explore,200,2299,1205
84,37.95518207282913,-734,-7981,151,explore,151,2300,1219
85,38.23529411764706,-706,-7229,199,explore,199,2301,1232
86,38.93557422969188,-945,-8731,200,explore,200,2303,1257
87,39.075630252100844,-709,-8792,199,explore,199,2302,1262
88,39.35574229691877,-634,-7991,199,explore,199,2302,1272
89,39.705882352941174,-820,-7364,199,explore,199,2301,1294
90,40.12605042016807,-1089,-7760,197,explore,197,2301,1307
91,40.826330532212886,-918,-7349,200,explore,200,2305,1323
92,41.31652661064425,-854,-8309,200,explore,200,2304,1340
93,41.87675070028011,-990,-7007,200,explore,200,2303,1350
94,42.50700280112045,-1079,-6371,200,explore,200,2303,1370
95,43.13725490196079,-1068,-7684,200,explore,200,2307,1383
96,44.047619047619044,-855,-7394,200,explore,200,2305,1402
97,44.46778711484593,-1010,-7325,200,explore,200,2326,1419
98,45.86834733893557,-663,-7072,199,explore,199,2323,1449
99,46.49859943977591,-939,-7705,200,explore,200,2325,1471
100,46.778711484593835,-538,-8879,202,explore,202,2325,1480
101,47.33893557422969,-838,-9138,200,explore,200,2335,1499
102,47.96918767507003,-552,-7925,200,explore,200,2333,1514
103,48.17927170868347,-891,-8773,200,explore,200,2331,1521
104,48.80952380952381,-1069,-9061,199,explore,199,2331,1537
105,48.80952380952381,-591,-8460,118,explore,118,2331,1537
106,50.21008403361344,-962,-9379,199,explore,199,2335,1572
107,50.63025210084034,-738,-7349,200,explore,200,2341,1591
108,51.05042016806722,-813,-7442,199,explore,199,2338,1598
109,51.26050420168067,-320,-6699,65,explore,65,2338,1607
110,51.330532212885146,-586,-5781,121,explore,121,2338,1609
111,51.470588235294116,-744,-6650,170,explore,170,2338,1611
112,51.610644257703086,-1044,-6315,200,explore,200,2338,1613
113,51.610644257703086,-864,-6224,200,explore,200,2337,1615
114,52.17086834733894,-1148,-7009,200,explore,200,2337,1631
115,52.450980392156865,-1044,-6343,200,explore,200,2340,1641
116,52.450980392156865,-797,-7055,200,explore,200,2339,1641
117,52.73109243697479,-443,-6489,103,explore,103,2340,1649
118,53.57142857142857,-921,-8037,200,explore,200,2338,1674
119,53.78151260504202,-1061,-7813,200,explore,200,2338,1678
