trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
247,35.64425770308123,-983,-8983,200,explore,200,2395,1405
248,35.85434173669468,-1073,-9767,200,explore,200,2395,1410
249,35.85434173669468,-1046,-10334,200,explore,200,2395,1410
250,36.344537815126046,-893,-10100,200,explore,200,2395,1419
251,36.76470588235294,-983,-9551,200,explore,200,2395,1428
252,36.83473389355743,-983,-9902,200,explore,200,2395,1430
253,37.11484593837535,-1100,-9938,200,explore,200,2395,1435
254,37.254901960784316,-1082,-10190,200,explore,200,2395,1437
255,37.39495798319328,-1064,-10163,200,explore,200,2395,1440
256,37.745098039215684,-1082,-10280,200,explore,200,2395,1448
257,37.745098039215684,-1073,-10046,200,explore,200,2395,1449
258,38.16526610644257,-1010,-9751,200,explore,200,2395,1456
259,38.23529411764706,-1046,-10100,200,explore,200,2395,1458
260,38.37535014005603,-992,-9336,200,explore,200,2395,1463
261,39.00560224089636,-1064,-9417,200,explore,200,2395,1477
262,39.00560224089636,-1010,-9718,200,explore,200,2395,1477
263,39.285714285714285,-992,-9461,200,explore,200,2395,1486
264,39.845938375350144,-965,-8644,200,explore,200,2395,1496
265,39.91596638655462,-1046,-9425,200,explore,200,2395,1497
266,40.26610644257703,-1037,-9128,200,explore,200,2395,1503
267,41.17647058823529,-1109,-9560,200,explore,200,2395,1519
268,41.66666666666667,-1028,-9398,200,explore,200,2395,1528
269,41.73669467787115,-956,-9200,200,explore,200,2395,1529
270,41.73669467787115,-1037,-9785,200,explore,200,2395,1529
271,41.9467787114846,-1091,-9450,200,explore,200,2395,1533
272,42.226890756302524,-1154,-9812,200,explore,200,2395,1538
273,42.50700280112045,-1127,-9054,200,explore,200,2395,1545
274,42.64705882352941,-1091,-9191,200,explore,200,2395,1549
275,43.13725490196079,-1028,-8363,200,explore,200,2395,1557
276,43.627450980392155,-1055,-9101,200,explore,200,2395,1565
277,43.69747899159664,-1010,-9254,200,explore,200,2395,1566
278,44.11764705882353,-1082,-8615,200,explore,200,2395,1573
279,44.25770308123249,-1055,-8084,200,explore,200,2395,1577
280,44.46778711484593,-1037,-7519,200,explore,200,2395,1582
281,44.46778711484593,-1064,-8687,200,explore,200,2395,1582
282,44.81792717086835,-1028,-8503,200,explore,200,2395,1593
283,45.23809523809524,-1037,-8130,200,explore,200,2395,1604
