trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-557,-557,200,explore,200,75,0
1,0.0,-812,-1414,200,explore,200,75,0
2,0.0,-250,-1547,88,explore,88,119,1
3,0.0,-245,-2243,200,explore,200,119,1
4,0.0,-585,-3368,200,explore,200,148,1
5,0.0,-731,-3910,200,explore,200,148,1
6,0.0700280112044818,-247,-4553,94,explore,94,215,2
7,0.0700280112044818,-740,-5270,200,explore,200,215,2
8,0.0700280112044818,-638,-4927,200,explore,200,303,3
9,0.0700280112044818,-677,-5530,200,explore,200,303,3
10,0.0700280112044818,-621,-6324,200,explore,200,375,3
11,0.0700280112044818,-200,-4651,200,explore,200,375,3
12,0.0700280112044818,-648,-5580,200,explore,200,436,5
13,0.0700280112044818,-785,-6280,200,explore,200,436,5
14,0.0700280112044818,-692,-4935,200,explore,200,526,7
15,0.0700280112044818,-290,-6079,200,explore,200,526,7
16,0.0700280112044818,-630,-5249,200,explore,200,598,10
17,0.0700280112044818,-200,-4956,200,explore,200,598,10
18,0.0700280112044818,-684,-4138,200,explore,200,687,12
19,0.0700280112044818,-200,-4017,200,explore,200,687,12
20,0.0700280112044818,-764,-5669,200,explore,200,786,15
21,0.0700280112044818,-200,-5848,200,explore,200,786,15
22,0.0700280112044818,-657,-4293,200,explore,200,838,17
23,0.0700280112044818,-200,-5498,200,explore,200,838,17
24,0.0700280112044818,-558,-6442,200,explore,200,896,17
25,0.0700280112044818,-920,-5822,200,explore,200,896,17
26,0.0700280112044818,-710,-6182,200,explore,200,923,19
27,0.0700280112044818,-200,-5101,200,explore,200,923,19
28,0.0700280112044818,-747,-5030,200,explore,200,953,23
29,0.0700280112044818,-200,-3589,200,explore,200,953,23
30,0.0700280112044818,-612,-4821,200,explore,200,981,24
31,0.0700280112044818,-722,-5074,200,explore,200,981,24
32,0.0700280112044818,-629,-5473,200,explore,200,1012,26
33,0.0700280112044818,-200,-4319,200,explore,200,1012,26
34,0.0700280112044818,-693,-5099,200,explore,200,1041,28
35,0.0700280112044818,-749,-5480,200,explore,200,1041,28
36,0.0700280112044818,-621,-5064,200,explore,200,1116,28
37,0.0700280112044818,-200,-4994,200,explore,200,1116,28
38,0.0700280112044818,-629,-4370,200,explore,200,1150,33
39,0.0700280112044818,-821,-5436,200,explore,200,1150,33
40,0.0700280112044818,-693,-6067,200,explore,200,1176,36
41,0.0700280112044818,-582,-4350,153,explore,153,1176,36
42,0.0700280112044818,-620,-4973,200,explore,200,1290,36
43,0.0700280112044818,-200,-5444,200,explore,200,1290,36
44,0.0700280112044818,-675,-6054,200,explore,200,1289,39
45,0.0700280112044818,-200,-4312,200,explore,200,1289,39
46,0.0700280112044818,-783,-4663,200,explore,200,1292,42
47,0.0700280112044818,-200,-5065,200,explore,200,1292,42
48,0.0700280112044818,-674,-4787,200,explore,200,1387,42
49,0.0700280112044818,-200,-3833,200,explore,200,1387,42
50,0.0700280112044818,-657,-4553,200,explore,200,1402,45
51,0.0700280112044818,-200,-4411,200,explore,200,1402,45
52,0.0700280112044818,-684,-4663,200,explore,200,1430,45
53,0.0700280112044818,-803,-5613,200,explore,200,1430,45
54,0.0700280112044818,-647,-4902,200,explore,200,1493,45
55,0.0700280112044818,-200,-4616,200,explore,200,1493,45
56,0.0700280112044818,-702,-5201,200,explore,200,1502,46
57,0.0700280112044818,-200,-5257,200,explore,200,1502,46
58,0.0700280112044818,-639,-5671,200,explore,200,1556,46
59,0.0700280112044818,-200,-5001,200,explore,200,1556,46
60,0.0700280112044818,-737,-5559,200,explore,200,1557,52
61,0.0700280112044818,-812,-5593,200,explore,200,1557,52
62,0.0700280112044818,-711,-5939,200,explore,200,1565,55
63,0.0700280112044818,-200,-4635,200,explore,200,1565,55
64,0.0700280112044818,-702,-4700,200,explore,200,1595,58
65,0.0700280112044818,-200,-4929,200,explore,200,1595,58
66,0.0700280112044818,-782,-5344,200,explore,200,1634,58
