trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-617,-617,200,explore,200,71,0
1,0.0700280112044818,-581,-1135,200,explore,200,157,2
2,0.0700280112044818,-572,-1734,200,explore,200,201,2
3,0.0700280112044818,-707,-2146,200,explore,200,289,3
4,0.0700280112044818,-608,-2978,200,explore,200,397,3
5,0.0700280112044818,-581,-2990,200,explore,200,496,3
6,0.0700280112044818,-707,-4528,200,explore,200,573,3
7,0.0700280112044818,-689,-5149,200,explore,200,650,3
8,0.0700280112044818,-689,-5121,200,explore,200,739,3
9,0.0700280112044818,-343,-5927,137,explore,137,823,3
10,0.0700280112044818,-573,-5973,200,explore,200,890,3
11,0.0700280112044818,-618,-6256,200,explore,200,988,3
12,0.0700280112044818,-600,-5872,200,explore,200,1008,3
13,0.0700280112044818,-690,-6382,200,explore,200,1058,3
14,0.0700280112044818,-618,-6288,200,explore,200,1123,3
15,0.0700280112044818,-690,-6401,200,explore,200,1134,3
16,0.0700280112044818,-534,-6317,164,explore,164,1168,3
17,0.0700280112044818,-609,-5890,200,explore,200,1257,3
18,0.0700280112044818,-762,-6644,200,explore,200,1296,3
19,0.0700280112044818,-681,-5528,200,explore,200,1327,3
20,0.0700280112044818,-708,-6349,200,explore,200,1356,4
21,0.0700280112044818,-636,-6628,200,explore,200,1413,7
22,0.1400560224089636,-771,-6462,200,explore,200,1466,8
23,0.1400560224089636,-825,-7105,200,explore,200,1503,8
24,0.1400560224089636,-717,-6742,200,explore,200,1520,8
25,0.1400560224089636,-735,-7168,200,explore,200,1613,8
26,0.1400560224089636,-771,-6628,200,explore,200,1640,9
27,0.1400560224089636,-735,-6907,200,explore,200,1653,9
28,0.1400560224089636,-726,-7033,200,explore,200,1697,9
29,0.1400560224089636,-744,-7132,200,explore,200,1735,9
30,0.1400560224089636,-825,-7168,200,explore,200,1754,9
31,0.1400560224089636,-834,-7368,200,explore,200,1759,9
32,0.1400560224089636,-443,-7038,94,explore,94,1778,9
33,0.1400560224089636,-807,-7978,200,explore,200,1797,9
34,0.1400560224089636,-807,-7759,200,explore,200,1802,9
35,0.1400560224089636,-789,-7591,200,explore,200,1830,9
36,0.1400560224089636,-100,-6579,39,explore,39,1844,9
37,0.1400560224089636,-771,-8050,200,explore,200,1857,9
38,0.1400560224089636,-753,-7852,200,explore,200,1856,9
39,0.1400560224089636,-933,-7721,200,explore,200,1856,9
40,0.1400560224089636,-1005,-8464,200,explore,200,1859,13
41,0.1400560224089636,-906,-8167,200,explore,200,1868,17
