trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-614,-614,200,explore,200,102,0
1,0.0,-749,-1336,200,explore,200,102,0
2,0.0,-186,-1450,81,explore,81,160,0
3,0.0,-722,-2609,200,explore,200,160,0
4,0.0,-524,-2437,200,explore,200,187,1
5,0.0,-785,-4053,200,explore,200,187,1
6,0.0,-596,-4127,200,explore,200,273,1
7,0.0,-839,-4462,200,explore,200,273,1
8,0.0,-587,-5760,200,explore,200,359,1
9,0.0,-704,-6068,200,explore,200,359,1
10,0.0,-650,-6950,200,explore,200,399,1
11,0.0,-200,-5168,200,explore,200,399,1
12,0.0,-399,-5079,150,explore,150,471,1
13,0.0,-200,-5267,200,explore,200,471,1
14,0.0,-542,-6923,200,explore,200,546,1
15,0.0,-200,-6041,200,explore,200,546,1
16,0.0,-523,-6427,157,explore,157,602,2
17,0.0,-767,-6599,200,explore,200,602,2
18,0.0,-695,-5379,200,explore,200,692,2
19,0.0,-722,-5285,200,explore,200,692,2
20,0.0,-686,-4763,200,explore,200,765,2
21,0.0,-659,-4921,200,explore,200,765,2
22,0.0,-677,-6491,200,explore,200,794,3
23,0.0,-821,-5618,200,explore,200,794,3
24,0.350140056022409,-650,-5192,200,explore,200,821,13
25,0.350140056022409,-308,-6212,200,explore,200,821,13
26,0.350140056022409,-650,-4539,200,explore,200,875,13
27,0.350140056022409,-785,-5654,200,explore,200,875,13
28,0.350140056022409,-587,-5663,200,explore,200,984,13
29,0.350140056022409,-200,-6019,200,explore,200,984,13
30,0.350140056022409,-632,-5060,200,explore,200,1059,13
31,0.350140056022409,-371,-4749,200,explore,200,1059,13
32,0.350140056022409,-686,-4999,200,explore,200,1088,14
33,0.350140056022409,-200,-3968,200,explore,200,1088,14
34,0.350140056022409,-704,-4835,200,explore,200,1192,14
35,0.350140056022409,-200,-4970,200,explore,200,1192,14
36,0.350140056022409,-776,-5348,200,explore,200,1240,15
37,0.350140056022409,-200,-4637,200,explore,200,1240,15
38,0.350140056022409,-659,-5324,200,explore,200,1266,15
39,0.350140056022409,-261,-4026,75,explore,75,1266,15
40,0.350140056022409,-848,-5924,200,explore,200,1274,18
41,0.350140056022409,-767,-4736,200,explore,200,1274,18
42,0.5602240896358543,-713,-5195,200,explore,200,1274,28
43,0.5602240896358543,-200,-4145,200,explore,200,1274,28
44,0.5602240896358543,-902,-5366,200,explore,200,1324,28
45,0.5602240896358543,-200,-4232,200,explore,200,1324,28
46,0.5602240896358543,-713,-4934,200,explore,200,1373,28
47,0.5602240896358543,-200,-4862,200,explore,200,1373,28
48,0.5602240896358543,-929,-5240,200,explore,200,1411,28
49,0.5602240896358543,-200,-5285,200,explore,200,1411,28
50,0.6302521008403361,-758,-4628,200,explore,200,1475,35
51,0.6302521008403361,-200,-4574,200,explore,200,1475,35
52,0.6302521008403361,-821,-4691,200,explore,200,1531,37
53,0.6302521008403361,-785,-5465,200,explore,200,1531,37
54,0.6302521008403361,-731,-4727,200,explore,200,1557,38
55,0.6302521008403361,-200,-4763,200,explore,200,1557,38
56,0.6302521008403361,-902,-4871,200,explore,200,1581,39
57,0.6302521008403361,-902,-5807,200,explore,200,1581,39
58,0.7703081232492998,-776,-5105,200,explore,200,1597,44
59,0.7703081232492998,-965,-5573,200,explore,200,1597,44
60,0.9103641456582634,-875,-5033,200,explore,200,1600,58
61,0.9103641456582634,-200,-4709,200,explore,200,1600,58
62,0.9103641456582634,-947,-5141,200,explore,200,1642,58
63,0.9103641456582634,-200,-4745,200,explore,200,1642,58
64,1.050420168067227,-875,-4826,200,explore,200,1656,63
65,1.050420168067227,-200,-4799,200,explore,200,1656,63
66,1.1204481792717087,-1010,-4997,200,explore,200,1663,67
