trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-557,-557,200,explore,200,82,2
1,0.21008403361344538,-656,-1231,200,explore,200,185,19
2,0.2801120448179272,-665,-1888,200,explore,200,256,36
3,0.350140056022409,-656,-2561,200,explore,200,327,52
4,0.350140056022409,-630,-2593,200,explore,200,396,67
5,0.49019607843137253,-692,-4047,200,explore,200,425,77
6,0.49019607843137253,-674,-4305,200,explore,200,513,91
7,0.49019607843137253,-666,-4990,200,explore,200,591,105
8,0.49019607843137253,-647,-5449,200,explore,200,672,117
9,0.6302521008403361,-575,-5798,200,explore,200,746,132
10,0.700280112044818,-756,-5821,200,explore,200,842,137
11,0.700280112044818,-200,-5633,84,explore,84,866,138
12,0.700280112044818,-683,-6147,200,explore,200,896,146
13,0.700280112044818,-666,-6301,200,explore,200,987,148
14,0.8403361344537815,-657,-5944,200,explore,200,1046,153
15,0.8403361344537815,-737,-5666,200,explore,200,1124,154
16,0.8403361344537815,-621,-5744,200,explore,200,1202,154
17,0.9803921568627451,-657,-6097,200,explore,200,1236,160
18,0.9803921568627451,-683,-6601,200,explore,200,1278,165
19,1.050420168067227,-702,-6422,200,explore,200,1323,169
20,1.4705882352941175,-615,-6388,199,explore,199,1334,178
21,1.4705882352941175,-566,-6224,200,explore,200,1379,183
22,1.4705882352941175,-693,-6404,200,explore,200,1420,184
23,1.4705882352941175,-567,-6655,200,explore,200,1458,186
24,1.5406162464985995,-70,-6017,45,explore,45,1478,188
25,1.610644257703081,-674,-6630,200,explore,200,1489,194
26,2.100840336134454,-692,-6427,200,explore,200,1492,209
27,2.5210084033613445,-684,-7108,200,explore,200,1515,221
28,2.8711484593837535,-738,-7581,200,explore,200,1521,233
29,3.011204481792717,-818,-7826,200,explore,200,1539,240
30,3.011204481792717,-756,-7071,200,explore,200,1606,241
31,3.221288515406162,-963,-7411,200,explore,200,1625,247
32,3.711484593837535,-890,-7726,200,explore,200,1628,263
33,3.8515406162464987,-900,-7980,200,explore,200,1634,271
34,3.9215686274509802,-756,-8201,200,explore,200,1676,277
35,4.061624649859944,-872,-7768,200,explore,200,1689,283
36,4.131652661064425,-873,-8596,200,explore,200,1736,286
