trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,36.8,explore,36.8,28.2,0.0
1,0.0,0,44.1,explore,44.1,62.5,0.0
2,0.0,0,39.2,explore,39.2,90.5,0.0
3,0.0,0,21.9,explore,21.9,108.5,0.1
4,0.0,0,32.0,explore,32.0,125.8,0.3
5,0.0,0,39.0,explore,39.0,149.0,0.6
6,0.0,1000,21.7,explore,21.7,163.5,0.6
7,0.0,1000,34.1,explore,34.1,182.5,1.1
8,0.0,1000,25.5,explore,25.5,195.6,1.3
9,0.0,0,35.8,explore,35.8,211.6,1.6
10,0.08695652173913045,0,34.7,explore,34.7,225.5,2.4
11,0.08695652173913045,0,33.8,explore,33.8,236.2,3.0
12,0.1739130434782609,0,31.4,explore,31.4,248.0,4.2
13,0.2608695652173913,1000,34.0,explore,34.0,257.9,5.2
14,0.5217391304347826,0,40.9,explore,40.9,276.8,6.3
15,0.5217391304347826,0,37.9,explore,37.9,289.8,6.5
16,0.9565217391304348,1000,43.4,explore,43.4,300.9,8.0
17,0.9565217391304348,1000,36.8,explore,36.8,310.5,9.2
18,1.7391304347826086,0,46.0,explore,46.0,321.0,10.9
19,2.0000000000000004,0,42.2,explore,42.2,328.0,11.9
20,2.695652173913044,1000,43.8,explore,43.8,335.7,13.2
21,3.0434782608695654,0,44.7,explore,44.7,343.0,14.0
22,3.9130434782608696,0,43.5,explore,43.5,347.3,15.6
23,4.000000000000001,0,31.7,explore,31.7,350.2,16.2
24,4.434782608695653,0,34.1,explore,34.1,352.6,17.0
25,5.043478260869566,0,37.1,explore,37.1,355.2,18.2
26,5.73913043478261,0,35.3,explore,35.3,356.7,19.6
27,6.000000000000002,0,40.3,explore,40.3,360.0,20.6
28,7.043478260869565,0,44.7,explore,44.7,363.0,23.0
29,7.043478260869565,0,38.5,explore,38.5,365.6,23.1
30,7.82608695652174,0,44.2,explore,44.2,368.0,24.5
31,8.695652173913045,1000,42.0,explore,42.0,369.0,26.2
32,9.130434782608699,0,39.7,explore,39.7,370.6,27.6
33,9.739130434782608,0,39.8,explore,39.8,372.0,28.8
34,10.08695652173913,1000,36.8,explore,36.8,373.0,29.9
35,10.782608695652176,0,27.6,explore,27.6,373.9,31.2
36,11.130434782608697,1000,29.3,explore,29.3,375.0,31.9
37,11.73913043478261,1000,36.1,explore,36.1,375.0,33.1
38,12.782608695652176,0,39.1,explore,39.1,375.0,35.0
39,14.173913043478262,1000,39.9,explore,39.9,376.1,37.6
40,15.304347826086959,1000,49.5,explore,49.5,376.5,39.5
41,16.347826086956523,0,39.0,explore,39.0,377.6,40.9
42,17.391304347826086,0,41.7,explore,41.7,377.8,43.0
43,18.869565217391305,1000,42.6,explore,42.6,377.4,45.3
44,19.999999999999996,0,43.2,explore,43.2,377.0,47.3
45,20.869565217391305,0,45.9,explore,45.9,376.6,49.0
46,22.608695652173914,1000,47.9,explore,47.9,376.1,51.8
47,24.347826086956523,0,37.4,explore,37.4,375.9,54.6
48,24.95652173913043,0,36.4,explore,36.4,375.5,55.9
49,25.82608695652174,1000,28.5,explore,28.5,375.7,57.3
50,27.217391304347824,0,39.4,explore,39.4,376.0,59.9
51,28.34782608695652,1000,45.8,explore,45.8,375.8,61.7
52,30.173913043478258,1000,43.8,explore,43.8,375.9,64.2
53,31.913043478260867,0,42.3,explore,42.3,375.1,67.0
54,33.04347826086957,0,39.7,explore,39.7,374.8,69.1
55,35.04347826086956,0,37.4,explore,37.4,373.9,71.7
56,36.17391304347825,0,42.7,explore,42.7,374.2,73.7
57,36.69565217391304,1000,28.4,explore,28.4,373.4,74.7
58,37.39130434782608,1000,28.4,explore,28.4,372.9,76.4
