trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,25.4,explore,25.4,20.2,0.0
1,0.0,0,39.5,explore,39.5,50.3,0.0
2,0.0,1000,38.4,explore,38.4,77.6,0.2
3,0.0,1000,43.1,explore,43.1,111.4,0.9
4,0.0,0,31.9,explore,31.9,135.8,1.2
5,0.08695652173913043,1000,33.5,explore,33.5,156.7,2.4
6,0.2608695652173913,0,40.9,explore,40.9,178.0,4.0
7,0.7826086956521741,1000,30.4,explore,30.4,195.0,5.6
8,1.2173913043478262,1000,28.1,explore,28.1,207.3,7.1
9,1.9130434782608698,0,43.4,explore,43.4,227.7,9.5
10,2.2608695652173916,1000,33.5,explore,33.5,240.6,10.8
11,2.7826086956521743,0,35.2,explore,35.2,252.1,12.5
12,3.4782608695652177,0,45.2,explore,45.2,272.0,15.0
13,4.173913043478261,0,41.2,explore,41.2,289.0,16.7
14,5.130434782608697,0,37.6,explore,37.6,301.0,19.2
15,5.82608695652174,1000,28.0,explore,28.0,308.8,20.2
16,7.130434782608695,1000,40.8,explore,40.8,321.9,22.6
17,8.608695652173912,1000,32.3,explore,32.3,326.0,25.4
18,9.999999999999998,0,39.5,explore,39.5,334.0,28.9
19,11.043478260869566,1000,43.0,explore,43.0,341.1,31.2
20,12.173913043478262,0,41.2,explore,41.2,345.3,33.1
21,15.130434782608697,0,45.4,explore,45.4,351.5,38.0
22,15.739130434782606,0,25.9,explore,25.9,356.7,39.3
23,16.782608695652176,1000,33.0,explore,33.0,359.0,41.2
24,18.695652173913047,0,43.9,explore,43.9,363.5,44.3
25,21.043478260869563,0,36.6,explore,36.6,366.0,47.6
26,24.521739130434785,1000,43.3,explore,43.3,368.2,53.2
27,26.086956521739133,0,39.4,explore,39.4,371.6,56.0
28,27.739130434782606,1000,38.5,explore,38.5,373.9,60.0
29,30.0,0,37.8,explore,37.8,377.4,63.9
30,32.08695652173914,0,30.9,explore,30.9,378.8,67.3
31,34.60869565217392,0,36.2,explore,36.2,380.3,71.2
32,36.69565217391305,1000,30.3,explore,30.3,381.7,74.4
33,39.21739130434783,1000,41.0,explore,41.0,383.1,79.0
34,41.47826086956522,0,35.7,explore,35.7,384.2,83.7
35,43.21739130434783,0,35.8,explore,35.8,385.0,87.3
36,45.65217391304348,0,39.0,explore,39.0,385.2,92.1
37,47.30434782608696,1000,43.5,explore,43.5,385.6,96.4
38,49.47826086956522,1000,37.7,explore,37.7,385.5,100.5
39,51.30434782608696,0,33.6,explore,33.6,385.6,104.3
40,53.1304347826087,0,33.5,explore,33.5,385.2,107.7
41,56.0,0,42.1,explore,42.1,386.0,113.3
42,58.086956521739125,0,37.2,explore,37.2,386.3,117.8
43,59.478260869565226,1000,46.6,explore,46.6,387.0,121.2
44,61.65217391304348,0,44.0,explore,44.0,387.1,125.3
45,63.913043478260875,0,38.8,explore,38.8,386.4,130.5
46,65.21739130434781,1000,39.8,explore,39.8,385.4,134.1
47,67.3913043478261,1000,41.7,explore,41.7,385.3,139.0
48,69.7391304347826,0,47.0,explore,47.0,384.2,144.6
49,71.65217391304348,0,38.2,explore,38.2,383.4,148.6
50,72.8695652173913,0,38.8,explore,38.8,383.1,152.2
51,74.08695652173911,0,45.7,explore,45.7,382.8,156.2
52,76.0,0,42.5,explore,42.5,382.9,160.1
53,77.56521739130434,0,43.4,explore,43.4,381.6,164.6
54,78.52173913043478,1000,35.5,explore,35.5,381.2,167.1
55,79.30434782608695,0,35.0,explore,35.0,381.1,169.8
56,80.69565217391303,0,41.0,explore,41.0,380.0,173.8
57,82.43478260869567,0,50.0,explore,50.0,379.6,178.5
58,83.91304347826086,0,43.1,explore,43.1,378.9,182.8
59,84.95652173913044,0,39.8,explore,39.8,377.9,187.6
60,86.00000000000001,1000,36.7,explore,36.7,377.9,191.3
61,87.04347826086958,0,43.9,explore,43.9,376.1,196.8
62,88.00000000000001,0,42.6,explore,42.6,375.2,201.6
63,88.69565217391305,0,41.3,explore,41.3,374.7,204.6
64,89.65217391304347,0,45.4,explore,45.4,373.4,207.2
65,90.34782608695653,1000,39.4,explore,39.4,372.8,210.7
66,91.04347826086955,0,39.8,explore,39.8,372.2,213.6
67,91.65217391304347,1000,35.8,explore,35.8,371.8,217.0
68,92.0869565217391,0,44.8,explore,44.8,370.9,220.1
69,92.69565217391305,0,35.9,explore,35.9,369.7,222.1
70,93.04347826086955,1000,41.5,explore,41.5,368.8,224.4
71,93.30434782608693,0,46.9,explore,46.9,368.3,226.3
72,93.65217391304348,1000,44.6,explore,44.6,367.8,229.0
73,93.82608695652175,0,44.0,explore,44.0,366.3,231.4
74,94.08695652173913,0,42.3,explore,42.3,365.3,233.6
75,94.43478260869564,0,45.7,explore,45.7,364.4,235.2
76,95.04347826086956,1000,49.3,explore,49.3,364.1,236.6
77,95.13043478260869,0,49.5,explore,49.5,363.2,238.5
78,95.21739130434784,1000,39.6,explore,39.6,362.7,239.9
79,95.47826086956522,0,34.1,explore,34.1,361.7,240.9
80,95.56521739130434,1000,38.9,explore,38.9,361.8,242.4
81,95.65217391304347,0,38.2,explore,38.2,360.7,243.9
82,95.73913043478261,0,37.9,explore,37.9,360.0,244.9
83,95.82608695652172,1000,29.1,explore,29.1,359.6,245.9
84,96.0,0,40.7,explore,40.7,358.8,248.3
85,96.34782608695652,0,38.7,explore,38.7,358.3,249.1
86,96.6086956521739,1000,42.0,explore,42.0,358.2,250.2
87,96.69565217391303,1000,37.5,explore,37.5,358.3,251.6
88,96.78260869565216,0,41.3,explore,41.3,358.6,252.8
89,96.78260869565216,0,47.9,explore,47.9,358.4,253.9
90,97.13043478260869,0,45.3,explore,45.3,357.3,255.3
91,97.13043478260869,0,27.2,explore,27.2,356.7,256.1
92,97.3913043478261,0,39.8,explore,39.8,355.9,256.9
93,97.3913043478261,0,36.9,explore,36.9,355.2,257.3
94,97.56521739130434,0,39.5,explore,39.5,354.3,258.3
95,97.56521739130434,0,45.8,explore,45.8,354.0,259.6
96,97.56521739130434,1000,46.1,explore,46.1,353.1,260.2
97,97.65217391304348,1000,34.2,explore,34.2,353.3,260.5
98,97.82608695652175,0,36.3,explore,36.3,353.3,261.0
99,97.91304347826089,0,44.1,explore,44.1,352.8,261.4
100,98.17391304347828,0,45.5,explore,45.5,352.8,262.6
101,98.17391304347828,0,47.1,explore,47.1,351.7,263.1
102,98.17391304347828,0,39.7,explore,39.7,351.1,263.6
103,98.17391304347828,0,43.0,explore,43.0,350.3,263.9
104,98.2608695652174,1000,41.5,explore,41.5,349.8,264.8
105,98.34782608695653,0,42.9,explore,42.9,349.9,265.5
106,98.34782608695653,0,40.0,explore,40.0,349.6,265.9
107,98.34782608695653,0,47.5,explore,47.5,349.5,266.1
108,98.34782608695653,1000,43.6,explore,43.6,348.7,266.7
109,98.43478260869568,0,40.9,explore,40.9,348.0,266.9
110,98.43478260869568,0,48.5,explore,48.5,346.8,267.9
111,98.43478260869568,1000,42.0,explore,42.0,346.3,268.7
112,98.43478260869568,0,45.4,explore,45.4,345.9,269.1
113,98.43478260869568,0,42.3,explore,42.3,345.2,269.1
114,98.5217391304348,0,33.2,explore,33.2,345.1,269.8
115,98.60869565217392,1000,41.7,explore,41.7,344.6,270.0
116,98.60869565217392,0,38.4,explore,38.4,344.1,270.1
117,98.69565217391305,1000,44.1,explore,44.1,343.7,270.5
118,98.78260869565219,0,43.8,explore,43.8,342.8,271.2
119,98.78260869565219,0,43.7,explore,43.7,342.3,271.4
120,98.78260869565219,0,47.1,explore,47.1,341.2,271.7
121,98.78260869565219,0,44.2,explore,44.2,340.5,272.1
122,98.86956521739131,0,50.0,explore,50.0,339.5,272.5
123,98.95652173913044,1000,38.6,explore,38.6,338.8,273.0
124,98.95652173913044,1000,39.9,explore,39.9,338.4,273.2
125,98.95652173913044,1000,45.3,explore,45.3,338.3,273.4
126,98.95652173913044,0,37.0,explore,37.0,337.4,273.5
127,98.95652173913044,0,40.0,explore,40.0,336.7,273.8
128,99.04347826086956,1000,46.0,explore,46.0,335.9,274.1
129,99.04347826086956,0,44.7,explore,44.7,335.1,274.0
130,99.04347826086956,0,42.3,explore,42.3,334.1,274.1
131,99.04347826086956,1000,40.9,explore,40.9,333.5,274.5
132,99.1304347826087,1000,34.4,explore,34.4,332.9,274.6
133,99.1304347826087,1000,42.4,explore,42.4,332.1,274.8
134,99.1304347826087,1000,44.4,explore,44.4,331.2,275.4
135,99.21739130434784,0,45.3,explore,45.3,330.1,275.7
136,99.21739130434784,1000,36.3,explore,36.3,329.3,275.7
137,99.21739130434784,0,46.4,explore,46.4,328.6,275.8
138,99.21739130434784,1000,44.8,explore,44.8,328.3,275.9
139,99.21739130434784,1000,40.8,explore,40.8,327.6,275.9
140,99.30434782608697,0,35.8,explore,35.8,327.4,276.1
141,99.30434782608697,1000,42.1,explore,42.1,327.2,276.1
142,99.3913043478261,0,34.7,explore,34.7,326.4,276.1
143,99.3913043478261,1000,39.4,explore,39.4,325.5,276.6
144,99.3913043478261,1000,45.2,explore,45.2,324.8,276.8
145,99.3913043478261,0,42.9,explore,42.9,324.1,277.0
146,99.47826086956522,1000,43.9,explore,43.9,323.5,277.2
147,99.47826086956522,1000,41.5,explore,41.5,323.1,277.4
148,99.47826086956522,1000,45.8,explore,45.8,322.7,277.5
149,99.47826086956522,0,47.4,explore,47.4,322.2,277.8
150,99.47826086956522,1000,44.3,explore,44.3,321.6,278.4
151,99.47826086956522,1000,35.7,explore,35.7,320.8,278.5
152,99.47826086956522,0,37.0,explore,37.0,320.2,278.6
153,99.47826086956522,1000,39.4,explore,39.4,319.7,278.4
154,99.47826086956522,0,50.0,explore,50.0,319.5,278.4
155,99.47826086956522,0,44.2,explore,44.2,319.2,278.4
156,99.47826086956522,1000,40.8,explore,40.8,319.0,278.4
157,99.47826086956522,1000,32.5,explore,32.5,319.1,278.5
158,99.47826086956522,0,47.2,explore,47.2,318.7,278.5
159,99.47826086956522,0,40.9,explore,40.9,318.0,278.6
160,99.47826086956522,0,40.2,explore,40.2,317.6,278.8
161,99.47826086956522,0,36.6,explore,36.6,317.2,278.9
162,99.47826086956522,0,40.3,explore,40.3,316.7,279.0
163,99.47826086956522,0,41.6,explore,41.6,316.6,279.3
164,99.56521739130436,0,34.3,explore,34.3,316.8,279.6
165,99.56521739130436,1000,34.7,explore,34.7,316.4,279.8
166,99.56521739130436,0,39.3,explore,39.3,315.6,279.8
167,99.56521739130436,0,38.7,explore,38.7,315.0,280.1
168,99.73913043478261,1000,38.5,explore,38.5,315.1,280.3
169,99.73913043478261,1000,38.6,explore,38.6,314.8,280.3
170,99.73913043478261,0,43.9,explore,43.9,313.9,280.3
171,99.73913043478261,0,43.4,explore,43.4,313.8,280.3
172,99.73913043478261,0,32.2,explore,32.2,313.2,280.4
173,99.73913043478261,0,49.2,explore,49.2,313.5,280.4
174,99.73913043478261,1000,36.7,explore,36.7,313.0,280.6
175,99.73913043478261,0,41.1,explore,41.1,312.5,280.5
176,99.73913043478261,0,44.4,explore,44.4,312.1,280.6
177,99.73913043478261,1000,36.8,explore,36.8,312.1,280.6
178,99.73913043478261,0,40.1,explore,40.1,312.9,280.6
179,99.91304347826087,0,38.5,explore,38.5,312.9,280.9
180,99.91304347826087,0,44.8,explore,44.8,312.6,281.5
181,99.91304347826087,0,46.4,explore,46.4,312.6,281.5
182,99.91304347826087,1000,40.2,explore,40.2,312.7,281.3
183,99.91304347826087,0,50.0,explore,50.0,313.0,281.3
184,99.91304347826087,1000,40.2,explore,40.2,312.5,281.5
185,99.91304347826087,0,43.7,explore,43.7,312.1,281.8
186,99.91304347826087,0,41.1,explore,41.1,312.0,281.8
187,99.91304347826087,1000,38.1,explore,38.1,312.0,281.8
188,99.91304347826087,0,35.1,explore,35.1,311.8,281.9
189,99.91304347826087,0,50.0,explore,50.0,311.4,281.9
190,99.91304347826087,0,39.1,explore,39.1,311.4,281.9
191,99.91304347826087,0,45.9,explore,45.9,311.1,281.8
192,99.91304347826087,0,41.2,explore,41.2,311.6,281.8
193,99.91304347826087,0,44.7,explore,44.7,310.9,281.8
194,99.91304347826087,1000,39.5,explore,39.5,310.7,281.8
195,99.91304347826087,1000,50.0,explore,50.0,310.4,281.9
196,99.91304347826087,0,38.5,explore,38.5,310.4,281.9
197,99.91304347826087,0,45.2,explore,45.2,310.5,281.9
198,99.91304347826087,0,49.6,explore,49.6,310.5,281.9
199,99.91304347826087,0,43.8,explore,43.8,310.3,282.1
200,99.91304347826087,0,40.6,explore,40.6,310.6,282.3
201,99.91304347826087,0,39.1,explore,39.1,310.3,282.4
202,99.91304347826087,0,42.3,explore,42.3,310.2,282.5
203,99.91304347826087,0,48.1,explore,48.1,309.7,282.5
204,99.91304347826087,0,41.2,explore,41.2,309.5,282.5
205,99.91304347826087,0,39.4,explore,39.4,309.3,282.6
206,99.91304347826087,0,40.3,explore,40.3,308.8,282.6
207,99.91304347826087,1000,42.8,explore,42.8,308.4,282.9
208,99.91304347826087,0,48.1,explore,48.1,307.8,283.0
209,99.91304347826087,1000,45.4,explore,45.4,307.5,283.2
210,100.0,0,43.4,explore,43.4,307.2,283.4
211,100.0,1000,39.3,explore,39.3,306.5,283.4
