trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,19.8,explore,19.8,16.2,0.0
1,0.0,1000,28.1,explore,28.1,37.9,0.0
2,0.08695652173913043,0,35.9,explore,35.9,62.4,0.1
3,0.08695652173913043,1000,29.8,explore,29.8,83.1,0.1
4,0.08695652173913043,1000,36.8,explore,36.8,103.9,0.4
5,0.08695652173913043,1000,35.3,explore,35.3,122.4,1.0
6,0.08695652173913043,0,36.1,explore,36.1,141.1,1.5
7,0.2608695652173913,0,43.2,explore,43.2,160.8,2.8
8,0.2608695652173913,0,27.6,explore,27.6,174.7,4.0
9,0.2608695652173913,0,37.9,explore,37.9,191.8,5.3
10,0.34782608695652173,1000,41.3,explore,41.3,207.1,6.3
11,0.43478260869565216,1000,46.5,explore,46.5,222.2,7.9
12,0.782608695652174,0,50.0,explore,50.0,241.3,9.4
13,0.8695652173913043,1000,35.1,explore,35.1,251.7,10.1
14,1.1304347826086958,0,46.1,explore,46.1,266.2,11.1
15,1.4782608695652173,1000,37.5,explore,37.5,273.9,11.9
16,2.000000000000001,1000,26.2,explore,26.2,278.2,12.7
17,2.956521739130435,0,38.5,explore,38.5,284.2,14.3
18,3.304347826086957,0,34.2,explore,34.2,288.6,15.1
19,4.086956521739131,0,35.4,explore,35.4,292.7,16.8
20,4.695652173913045,0,40.0,explore,40.0,297.1,17.6
21,5.130434782608697,0,43.7,explore,43.7,303.2,18.6
22,6.521739130434783,0,43.7,explore,43.7,307.5,20.3
23,6.869565217391305,1000,44.6,explore,44.6,312.5,21.2
24,7.82608695652174,0,46.3,explore,46.3,318.2,22.3
25,8.869565217391303,0,47.3,explore,47.3,323.4,23.7
26,10.08695652173913,0,42.3,explore,42.3,326.6,25.3
27,11.217391304347826,0,34.2,explore,34.2,328.1,27.0
28,12.608695652173912,1000,32.8,explore,32.8,329.9,29.0
29,14.26086956521739,0,42.2,explore,42.2,331.6,31.7
30,15.130434782608697,0,36.9,explore,36.9,332.8,33.6
31,17.130434782608695,0,47.3,explore,47.3,334.3,36.5
32,18.69565217391304,1000,33.4,explore,33.4,335.7,39.0
33,21.73913043478261,0,48.7,explore,48.7,337.4,43.9
