trial,phase,steps,numerosity,reliable,knowledge
0,explore,15.8,11.4,0.0,0.0
1,explore,20.1,22.6,0.0,0.0
2,explore,15.9,28.1,0.0,0.0
3,explore,13.8,33.6,0.0,0.0
4,explore,18.4,40.7,0.0,0.0
5,explore,14.4,45.9,0.0,0.0
6,explore,22.5,50.3,0.0,0.0
7,explore,25.6,56.0,0.0,0.0
8,explore,24.1,60.1,0.0,0.0
9,explore,27.3,64.7,0.0,0.0
10,explore,25.0,67.1,0.2,1.4285714285714284
11,explore,36.7,72.1,0.2,1.4285714285714284
12,explore,14.0,73.5,0.5,2.8571428571428568
13,explore,23.3,75.3,0.7,3.5714285714285716
14,explore,23.9,76.9,1.1,5.0
15,explore,15.3,77.7,1.5,6.428571428571429
16,explore,8.2,78.2,1.6,7.142857142857143
17,explore,11.4,78.5,2.4,7.857142857142857
18,explore,9.7,79.1,2.9,9.285714285714283
19,explore,17.7,80.1,3.7,12.142857142857142
20,explore,11.0,80.1,4.9,15.714285714285712
21,explore,23.5,81.0,6.4,19.999999999999996
22,explore,31.6,81.5,9.3,27.142857142857146
23,explore,20.2,81.9,11.9,30.0
24,explore,22.7,82.0,14.0,33.57142857142857
25,explore,19.0,82.0,16.3,37.85714285714285
26,explore,20.1,82.0,17.5,40.0
27,explore,25.8,81.7,19.6,45.71428571428571
28,explore,23.7,81.6,21.4,50.71428571428571
29,explore,23.1,81.8,23.2,53.57142857142858
30,explore,19.5,82.4,24.3,53.57142857142858
31,explore,36.4,82.6,25.7,55.0
32,explore,26.4,82.5,27.6,57.142857142857146
33,explore,35.4,82.3,29.6,60.71428571428572
34,explore,38.4,82.2,31.5,62.85714285714287
35,explore,26.9,82.0,32.3,65.00000000000001
36,explore,30.3,82.1,33.7,66.42857142857143
37,explore,27.8,82.1,34.8,67.14285714285714
38,explore,20.5,82.1,35.5,68.57142857142857
39,explore,32.7,81.9,36.5,68.57142857142857
40,explore,23.9,82.0,37.5,69.28571428571429
41,explore,21.2,81.8,38.3,70.00000000000001
42,explore,33.9,81.4,39.4,70.00000000000001
43,explore,34.1,81.3,41.6,72.14285714285714
