trial,phase,steps,numerosity,reliable,knowledge
0,explore,28.7,17.9,0.0,0.0
1,explore,36.9,36.6,0.0,0.0
2,explore,36.4,51.5,0.0,0.0
3,explore,32.5,60.5,0.0,0.0
4,explore,30.1,68.6,0.0,0.0
5,explore,22.5,74.5,0.3,0.0
6,explore,37.8,84.6,0.4,0.0
7,explore,43.4,95.2,1.7,0.0
8,explore,37.7,101.8,2.0,0.0
9,explore,42.1,105.9,4.2,0.4
10,explore,34.4,109.2,5.6,0.4
11,explore,43.9,111.7,8.1,1.6
12,explore,41.4,112.6,10.9,2.8
13,explore,34.8,113.6,12.1,3.6
14,explore,43.2,115.1,15.6,4.8
15,explore,37.3,115.8,17.9,7.2
16,explore,35.8,116.1,21.4,9.6
17,explore,38.5,116.3,23.4,10.8
18,explore,39.5,116.2,26.9,16.0
19,explore,36.0,117.0,29.1,18.4
20,explore,37.5,117.5,31.8,21.6
21,explore,23.5,117.8,32.8,23.6
22,explore,44.4,117.7,35.8,29.6
23,explore,38.1,117.7,38.0,32.8
24,explore,40.3,118.0,40.6,34.8
25,explore,32.7,117.7,42.3,37.6
26,explore,44.6,117.7,45.1,40.0
27,explore,35.7,117.6,46.1,41.2
28,explore,42.8,117.5,47.9,42.8
29,explore,38.6,117.5,50.0,45.2
30,explore,32.8,117.3,51.2,46.0
31,explore,34.7,117.2,52.9,49.2
32,explore,32.3,116.9,54.2,50.8
33,explore,49.6,116.3,56.2,52.8
34,explore,30.3,116.1,57.5,55.2
35,explore,37.8,116.0,58.8,55.6
36,explore,39.8,115.7,60.4,56.4
37,explore,34.2,115.5,61.8,57.6
38,explore,36.2,115.2,62.7,59.2
39,explore,40.3,114.7,64.3,61.2
40,explore,40.4,114.5,65.0,61.6
41,explore,37.0,114.2,65.4,62.0
42,explore,41.8,113.8,65.9,62.4
43,explore,33.4,113.6,66.2,62.8
44,explore,36.0,113.6,67.6,64.4
45,explore,45.5,113.7,68.5,65.2
46,explore,40.5,113.5,69.1,66.4
47,explore,42.2,113.6,69.9,67.2
48,explore,45.6,113.1,70.5,67.6
49,explore,43.3,112.4,71.2,68.4
50,explore,43.1,111.9,72.7,70.0
51,explore,32.3,111.3,73.0,70.4
52,explore,37.1,111.1,73.8,70.8
53,explore,41.3,110.9,74.9,72.4
54,explore,42.3,110.1,75.7,74.0
55,explore,39.3,109.9,76.3,74.8
56,explore,35.6,110.0,76.8,74.8
57,explore,38.0,109.6,77.9,75.6
58,explore,42.8,109.0,78.3,76.0
59,explore,42.2,108.5,78.9,76.8
60,explore,42.7,108.5,79.1,76.8
61,explore,41.4,108.2,79.6,77.2
62,explore,43.9,107.5,80.1,78.0
63,explore,43.2,107.2,80.7,78.4
64,explore,43.8,107.1,80.9,78.0
65,explore,38.1,106.8,81.4,78.0
66,explore,44.5,106.2,81.8,78.0
67,explore,32.3,106.0,81.8,78.0
68,explore,41.9,106.1,81.8,77.6
69,explore,33.1,106.3,82.0,77.6
70,explore,42.6,106.2,82.9,78.8
71,explore,44.0,106.2,83.1,78.8
72,explore,32.9,106.1,83.8,78.8
73,explore,42.5,106.0,84.3,78.8
74,explore,39.8,105.5,84.6,79.6
75,explore,23.5,105.5,84.9,80.0
76,explore,43.5,105.2,85.2,80.4
77,explore,47.8,104.9,85.9,80.8
78,explore,45.1,104.4,86.6,81.2
79,explore,46.5,104.2,86.6,80.4
80,explore,41.8,104.0,87.3,81.6
81,explore,38.0,104.0,87.7,82.0
82,explore,43.9,103.7,88.4,82.4
83,explore,41.7,103.4,88.6,82.8
84,explore,25.1,103.3,88.3,82.4
85,explore,42.4,103.1,88.5,82.8
86,explore,45.4,103.0,88.9,83.2
87,explore,45.2,102.9,89.0,83.2
88,explore,41.2,102.7,89.2,83.6
89,explore,25.300000000000004,102.2,89.3,84.0
90,explore,40.4,102.2,89.6,84.0
