trial,phase,steps,numerosity,reliable,knowledge
151,explore,37.1,94.7,85.6,83.2
152,explore,32.3,94.7,85.6,83.2
153,explore,31.9,94.7,86.2,83.6
154,explore,38.2,94.7,86.5,84.0
155,explore,37.4,94.6,86.6,84.0
156,explore,38.5,94.6,86.6,84.0
157,explore,37.0,94.6,86.8,84.4
158,explore,28.3,94.6,86.8,84.4
159,explore,44.2,94.6,86.8,84.4
160,explore,36.3,94.6,87.0,84.8
161,explore,37.1,94.6,86.9,84.8
162,explore,42.5,94.6,86.2,83.6
163,explore,43.1,94.6,86.5,84.0
164,explore,38.0,94.6,86.5,84.0
165,explore,28.9,94.6,86.4,83.6
166,explore,32.5,94.6,86.4,83.6
167,explore,32.4,94.6,87.0,84.0
168,explore,36.1,94.6,87.3,84.4
169,explore,39.4,94.6,87.3,84.4
170,explore,31.6,94.6,87.1,84.4
171,explore,31.3,94.6,86.6,83.6
172,explore,38.5,94.6,86.6,83.6
173,explore,34.3,94.7,86.6,83.6
174,explore,42.6,94.7,86.3,83.2
175,explore,36.7,94.7,86.5,83.6
176,explore,37.9,94.7,86.5,83.6
177,explore,33.5,94.7,86.9,84.0
178,explore,44.7,94.7,86.9,84.0
179,explore,29.3,94.7,86.9,84.0
180,explore,34.9,94.7,86.9,84.0
181,explore,39.2,94.5,87.5,84.4
182,explore,38.6,94.7,87.4,84.0
183,explore,40.4,94.7,87.5,84.4
184,explore,40.0,94.8,87.5,84.4
185,explore,34.8,94.8,87.5,84.4
186,explore,39.0,94.8,87.5,84.4
187,explore,34.3,94.9,87.5,84.4
188,explore,41.1,94.9,87.4,84.0
189,explore,36.2,94.9,86.9,84.0
190,explore,41.5,94.9,87.1,84.4
191,explore,45.2,94.9,87.0,84.0
192,explore,21.8,94.9,87.0,84.0
193,explore,42.0,94.8,87.6,84.4
194,explore,47.0,94.7,87.6,84.4
195,explore,31.1,94.7,87.6,84.4
196,explore,35.2,94.7,87.4,84.0
197,explore,42.2,94.8,87.0,84.0
198,explore,31.6,94.8,87.0,84.0
199,explore,30.8,94.8,87.0,84.0
200,explore,35.4,94.8,87.0,84.0
201,explore,36.8,94.7,87.7,84.8
202,explore,37.9,94.7,87.5,84.4
203,explore,36.6,94.7,87.4,84.0
204,explore,39.1,94.7,87.6,84.4
205,explore,43.3,94.6,87.4,84.0
206,explore,35.3,94.6,87.4,84.0
207,explore,39.2,94.6,87.4,84.0
208,explore,30.0,94.7,86.8,83.6
209,explore,37.6,94.6,87.4,84.0
210,explore,33.5,94.8,87.5,84.4
211,explore,43.1,94.8,87.5,84.4
212,explore,43.9,94.8,87.5,84.4
213,explore,36.3,94.9,87.5,84.4
214,explore,45.4,94.7,87.5,84.4
215,explore,39.2,94.7,87.5,84.4
216,explore,40.8,94.8,87.6,84.8
217,explore,34.9,94.7,87.6,84.8
218,explore,42.5,94.5,87.5,84.4
219,explore,44.1,94.5,87.5,84.4
220,explore,34.5,94.5,87.5,84.4
221,explore,38.4,94.6,87.5,84.4
222,explore,36.5,94.6,87.5,84.4
223,explore,31.5,94.6,87.5,84.4
224,explore,39.9,94.6,87.5,84.4
225,explore,44.1,94.6,87.5,84.4
226,explore,37.2,94.6,87.5,84.4
227,explore,48.0,94.6,87.5,84.4
228,explore,31.3,94.7,87.6,84.8
229,explore,32.3,94.7,87.7,85.2
230,explore,32.8,94.7,87.5,84.4
231,explore,41.3,94.7,87.5,84.4
232,explore,35.3,94.7,86.6,84.0
233,explore,31.9,94.7,87.9,84.8
234,explore,36.1,94.5,88.0,85.2
235,explore,33.2,94.5,88.0,85.2
236,explore,33.0,94.6,87.9,84.8
237,explore,26.8,94.6,87.9,84.8
238,explore,41.8,94.6,87.5,84.4
239,explore,39.1,94.6,87.5,84.4
240,explore,37.1,94.7,87.5,84.4
